ID,Year
034zHn5tOZLlwDxv0zy3rj,2000
7f1Dmr246cJ9uQYdbplTbh,2000
541J7UIPHH6SD5HrfjutVa,2000
4ARqAFE8JjUg9n46eRptkr,2000
65fqcmj2M1EiERwDoIflDt,2000
7f1Dmr246cJ9uQYdbplTbh,2000
5GR1Jj5ahZtoR6WqyM5LP4,2000
26rgP1UQaxbdRfcEvu7qpk,2000
1okkbWaL4Nign0nmFvz49C,2000
5GR1Jj5ahZtoR6WqyM5LP4,2000
0etnhw0hN9uq2hkxfj58xl,2000
0n4TOY0V4lZA6lgqQ8Q6X3,2000
0WqZ6MR1Xmz3MCaWA4HZ8x,2000
0nILp5SpecXFvJQotZe48y,2000
6I8oqGgmpXTzVcB7xk2SdC,2000
3oxOwJOhn29dU1smsW9klD,2000
7JAdbrifaj8P81CjoNVjfo,2000
4VTf5dPyBntcYFwW9b3fto,2000
7ptNdKLu4PHKcma1zCAQLW,2000
1SPrdIUNZRehQbiravoPcB,2000
1eUm0m66iEq32pJnTCYhpS,2000
7f1Dmr246cJ9uQYdbplTbh,2000
7lXaXjvXdOCTqc22U46lVs,2000
1raWfcURBd1Q3W3K0ojDCM,2000
4ybK6X60TURNCfVNtInRYk,2000
1C68DDl6aRUtAM3tcN1h6Q,2000
6xxXrNJnnsQNLdgNk8S4y8,2000
3P7PWShavgwjPiV08zzbXv,2000
52TV6XQPs8wijQZLJTdwVl,2000
1ieouFxB2A3JjKEt1OoEiB,2000
0ffQpiShZZKtDN06L84FCJ,2000
1u1PzGnsWKjAwSZ9Rg1kjD,2000
6Iw1zculZ7HlWLXPP6Dd7O,2000
7KstQYdoAhEUwGiAZLBVF5,2000
2avbiIvOsH4uTFMTjC6NUh,2000
5YCzAdTeW0IQMA8slJaeCB,2000
3T9JBhnKnxmkYOHLx2pgJd,2000
0oclIpeAU98s8VO9pEgoP9,2000
6GNNxVIW7odsFmuRfQihxM,2000
2Cu1svdS65XkKML81zD8a3,2000
35PM6cvBZnIhhheTQg6UU2,2000
13JI4BbIZVVYDQQaodCZPo,2000
6s4hB0LCVv1VB1gfWHRcOz,2000
27HEcrCxtG7hJQSi1JzMJI,2000
6YAKLYoIE3lxW0nJ0UIAxB,2000
2W0egOKRsG5sFGsRj7SltG,2000
0wqOReZDnrefefEsrIGeR4,2000
4huqghnepsIzBA01HfaAG3,2000
4pJKLwSWPqkkpCZaQ5OPiz,2000
1C8Eg0qncyksJLdEnADkpG,2000
7qkWW5uJlbsG2PzZo1C5Vb,2000
54GafcqLZfddzJChsrat0t,2000
31Z8a8TVSOK5qMtkCfp05m,2000
7sZrZ0obXj5rzGgaz91waY,2000
2tP7ZekzXfduShx8C6cbll,2000
3SfcM1DMYHTZB999UVtrVa,2000
5N7T9Bjmb4HYkqEleqM2g3,2000
1raWfcURBd1Q3W3K0ojDCM,2000
2ptNHiOb6DbdWytP2Nsslu,2000
43XFnsDw9XnyOQrPUOtfff,2000
4WFC5oosVJnVD0hgfx4cM9,2000
2d86vRYBgTl4oJ28WrpiKw,2000
5oT7HmkPkGsi0SAB10D34x,2000
3BcGTyGnofcaQlxEaHyuPD,2000
6drMEKriM3sscgdmDqc1OW,2000
5GR1Jj5ahZtoR6WqyM5LP4,2000
6xxXrNJnnsQNLdgNk8S4y8,2000
5FMvyZGED31NhYB28bbocK,2000
2wezXSfvnivQ5rLLvVxKNP,2000
4kLNuS7FOqEIXOsvNd2zLd,2000
0WqZ6MR1Xmz3MCaWA4HZ8x,2000
1ddfBve2WRkzF1ALYh1PVR,2000
2buyJ9oyf7N3Faq5SRYbV3,2000
5TDM3j01haNYnK43VD6fMX,2000
1yYv7vgoxd9Gi9R1ZV1lQh,2000
0s8OsDxW96cl290PcsI2mX,2000
1uaphB8N7jHwtGG9IecKoY,2000
5Q6Q4QE1rlHIMcziSWtxGY,2000
4KrqBux9b8psZGnEkkpLT1,2000
6xxXrNJnnsQNLdgNk8S4y8,2000
4lhFA1E4MFfPeO9gYJEZOs,2000
4nmHsUb5CGWxR3uBVG8Bdy,2000
4SxnxwRTlXUmJb6qkvSnhh,2000
6zvX1SJB9bDgwfGL3NqTvQ,2000
0RV6wrz6NXFKEuQfekhUjy,2000
4tgeQrPu5xkrnwErym2JsJ,2000
3XGLnUh9XzH1KiAobnpzsv,2000
0Lq4NllebNkxlkGfMTfdIE,2000
3G2CZrk8WUMfdIgK1u0Fl7,2000
79QOptRQIPEAUynI4LeeHR,2000
37bPydtyElNj0AERSVzGMM,2000
2l0jvrJplQPD7RaeGqYNCV,2000
2dlVeyhP1kM1xdfJGN6gpG,2000
7zT38ynJbb6pi8vi0WlLou,2000
3Wdwi1v5cbAUChZBHCBtXg,2000
4uIZjBW1aJ0e3w8Y7prt61,2000
4uOKFydzAejjSFqYbv1XPt,2000
2y9WjMBxurTYQPxCPGXLgl,2000
70JY5DeA401VoPIXvc7MqF,2000
6sQ41j7G8kyhirJxBoI6gs,2000
0fA6gAjpLH4rUWJYG1xR1k,2000
50H0A5Qbds00N3DpMR9On8,2000
0K7P82sgDDgdeUisBVRQ6t,2000
6m4ev9JVFXqpjttZaCLjRS,2000
5tDDqSnNltCcFkdTcyaAPf,2000
0V82wcNlunw76nvvmPL9tk,2000
3qV16JCqDll7zjKKWyK4w1,2000
3rn07BEDuQLxbpKsStMido,2000
5vFxnu2jkxn8vTA185oH10,2000
5I2FvUojIXRj1w4Cl6qPe3,2000
2EWMlxsVQdNpgZ3TryxdR9,2000
0VRZJQpVz9Hdpkm5A4Qyb3,2000
4bO7RGvpEWDMZHxHf9cxg9,2000
6xUwTW2NLLDUSCbbQEa09c,2000
2x4TRIJ3dw7ZWFSixYJE9M,2000
1K22bWruthtqXMKOMHNuYN,2000
7igiOMajM4z17KjthH1NnU,2000
1RPhSs2lDYKjDsELKtPvQd,2000
0F9T8YsaIIztXWlEBDiE0E,2000
4Na8B2qBWg76RA15psdb27,2000
3YObbB1kEspl7nRM05FqvX,2001
2SLZ2rX5773RS16mcqBxG7,2001
5lE1g5Qsi1stIjYh8O5FC1,2001
2TyVnyzioOM6CeoYVkhGCH,2001
5LRxSyiIRHQD26h1mdM0Ir,2001
769geiA8btidGHda4BBDOJ,2001
6zFPVaf3NTwsiV7byxJKoB,2001
5l2P0TBREso46wxFq4jQrI,2001
2CD8UvBi01dwnriCM8TivL,2001
6kYx8rsUAiWvKC6fAWnupy,2001
1pVFchEqnrpIEtuGrB4srT,2001
1bKv5bSDGVGaIZ7im87CiV,2001
4Kdy54ozhfO9TimC9UI3Ue,2001
2QR2VezZfwxSgI0xH5tfwE,2001
0fM0mFxHP1R4KPX1PB8tWU,2001
5QpaGzWp0hwB5faV8dkbAz,2001
5dpAN1mjFPL38kh9kWsCiw,2001
3GX9pOrFcNUtN34FwhWinY,2001
3lwEgdhnC4H9jfXELWCu29,2001
1vxh6q1iKaJ4twc2uvWc3Q,2001
2ydUT1pFhuLDnouelIv4WH,2001
6NW5mX8pIyF4BeTNaw7pEZ,2001
2hGvPUVI9TqByJXR8PBSQ0,2001
0nh6FkbapaaoQMLbMqCvkY,2001
0gPQTLaqHDgdupKEok7J2x,2001
769geiA8btidGHda4BBDOJ,2001
34yIb7hw5SuR80au1BHTtt,2001
2ydUT1pFhuLDnouelIv4WH,2001
2aHJ3zxcfolcvgrP14TSDB,2001
64DuEe9L3JCESWDsxSKqsx,2001
5LRxSyiIRHQD26h1mdM0Ir,2001
2yi1HjKqErtxTjK2v5TtjW,2001
2acy7zzNEjWMpY6mg91h5N,2001
6UuqvuIlWdcNyCrnnD6n5k,2001
6qlMifTE4UjKbGVjZS8WSr,2001
1Wcn9o0Vi3IChlaaGFurCo,2001
5QpaGzWp0hwB5faV8dkbAz,2001
0aKozTzglADfnFue4Vwuif,2001
199AXvnWmuNdW9nzfxaVJS,2001
7weMJXfu8leOPWd4COj2Qp,2001
2ozJmnjqCMJavEKoHqiou0,2001
5dpAN1mjFPL38kh9kWsCiw,2001
4Em50nHMthQ6rajhu2xVpg,2001
2SLZ2rX5773RS16mcqBxG7,2001
02jcEwywffn3Tsb48fXmlW,2001
1BpV8IGf4XsRRJf4Xuui9q,2001
32cBx2T2ByhiYlslV8ChNK,2001
6eSy6PqtCMSS1zNLCJJn4z,2001
2eOuL8KesslTLQERQPu11D,2001
4um6ZMnib1I7VuG3c6jGm5,2001
56A0zbb8pv9Q2igFRPrKwe,2001
5CSYKNOWJlymAVkdjid3N6,2001
3wlNmUeoHnM1jcOcXxC6qI,2001
4DubOF0AqoxpGVRY78AHuo,2001
1rJ4QXyMDbqPEIFwoZq5bw,2001
1cRTAPP2FG9h2WiYMOIVIK,2001
2WCeADaolAKUYUX2eILilK,2001
3zjLEJ6EPYJHZRtWGMhMSJ,2001
123xnw2mZJJKDdvfno8L7F,2001
1A0j6qANKHgk7VZ6uvYO06,2001
3YD9EehnGOf88rGSZFrnHg,2001
5mGVZ3k5LefACaZwfFcGn8,2001
50o9gFkzJLXSQvSAeAmehv,2001
5tE1nYzGz9iWa58WuY8YSQ,2001
0k5PuYlqXIjZGRhwOqHVol,2001
3AwjJ82gC8z9Qs8hNwAzOB,2001
4qcGDeuUURbFGE8BoXpFw6,2001
3XXRLGiFxcGCIvQZibTVB1,2001
45sLgL6dd1FEErzCBZSlB0,2001
5ARrtxJLVCeTv5TWo1oKgC,2001
0fM0mFxHP1R4KPX1PB8tWU,2001
0lVYRIVjK77Z6uG2GgM8Kl,2001
5X4iHSZA7hVP438FbFfoqu,2001
5QpaGzWp0hwB5faV8dkbAz,2001
769geiA8btidGHda4BBDOJ,2001
7rmSylz1tcXvxeJFPC2g0J,2001
0gPQTLaqHDgdupKEok7J2x,2001
2CD8UvBi01dwnriCM8TivL,2001
4kCQkfovhf62Ve6L2WBh39,2001
5QpaGzWp0hwB5faV8dkbAz,2001
6h23mea5wRe3MaOyrZEVeS,2001
5lE1g5Qsi1stIjYh8O5FC1,2001
6oKI26bh1VZcBe3SQNM2ZT,2001
1fJFuvU2ldmeAm5nFIHcPP,2001
1yh7xITx9zHUsFvgZ3Unkv,2001
35bP5sBitpcOB2DPzGtNgf,2001
6TVAJDEnxpKcDLDtbI8YoX,2001
0gElQNt0FWNDsLVQoynkPy,2001
56A0zbb8pv9Q2igFRPrKwe,2001
0lVYRIVjK77Z6uG2GgM8Kl,2001
41QWKQjT6riBhHAGYHU9Xu,2001
4N0XG7hGoVnUKI2kuRGN1u,2001
7fvhFcos6XL4KhJsm6TPlC,2001
0lVYRIVjK77Z6uG2GgM8Kl,2001
5QpaGzWp0hwB5faV8dkbAz,2001
5Lno0hPhvo7BzXVLQzDIS3,2001
5OQEFqWzBA5b2jCteh1j3j,2001
