Track,Artist,Position,Last,Peak,Weeks,Year,Month,Week
Have You Forgotten?,Darryl Worley,50,-,50,1,2003,3,15
Bring Me To Life,Evanescence Featuring Paul McCoy,64,-,64,1,2003,3,15
Concrete Angel,Martina McBride,65,-,65,1,2003,3,15
Raining On Sunday,Keith Urban,69,-,69,1,2003,3,15
Rock You Baby,Toby Keith,72,-,72,1,2003,3,15
Break You Off,The Roots Featuring Musiq,99,-,99,1,2003,3,15
Unwell,matchbox twenty,59,-,59,1,2003,3,22
Rock Your Body,Justin Timberlake,61,-,61,1,2003,3,22
I Believe,Diamond Rio,69,-,69,1,2003,3,22
21 Questions,50 Cent Featuring Nate Dogg,74,-,74,1,2003,3,22
Put That Woman First,Jaheim,75,-,75,1,2003,3,22
Don't Dream It's Over,Sixpence None The Richer,84,-,84,1,2003,3,22
The Wreckoning,Boomkat,88,-,88,1,2003,3,22
4 Ever,Lil' Mo Featuring Fabolous,92,-,92,1,2003,3,22
Speed,Montgomery Gentry,96,-,96,1,2003,3,22
The Anthem,Good Charlotte,56,-,56,1,2003,3,29
Damaged,TLC,59,-,59,1,2003,3,29
Running,No Doubt,62,-,62,1,2003,3,29
Big Yellow Taxi,Counting Crows Featuring Vanessa Carlton,63,-,63,1,2003,3,29
Girl All The Bad Guys Want,Bowling For Soup,68,-,68,1,2003,3,29
What A Beautiful Day,Chris Cagle,71,-,71,1,2003,3,29
Say Yes,Floetry,72,-,72,1,2003,3,29
Drift Away,Uncle Kracker Featuring Dobie Gray,75,-,75,1,2003,3,29
Peacekeeper,Fleetwood Mac,93,-,93,1,2003,3,29
Get By,Talib Kweli,99,-,99,1,2003,3,29
Sing For The Moment,Eminem,52,-,52,1,2003,4,5
If You're Not The One,Daniel Bedingfield,55,-,55,1,2003,4,5
Headstrong,Trapt,71,-,71,1,2003,4,5
Love You Out Loud,Rascal Flatts,72,-,72,1,2003,4,5
Three Wooden Crosses,Randy Travis,73,-,73,1,2003,4,5
What Would You Do?,The Isley Brothers Featuring Ronald Isley,74,-,74,1,2003,4,5
Still Ballin,2Pac Featuring Trick Daddy,75,-,75,1,2003,4,5
American Life,Madonna,90,-,90,1,2003,4,5
Never Scared,Bone Crusher Featuring Killer Mike & T.I.,99,-,99,1,2003,4,5
Fighter,Christina Aguilera,61,-,61,1,2003,4,12
Pimp Juice,Nelly,68,-,68,1,2003,4,12
Don't Wanna Try,Frankie J,76,-,76,1,2003,4,12
No One's Gonna Change You,Reina,96,-,96,1,2003,4,12
Beware Of The Boys (Mundian To Bach Ke),Panjabi MC Featuring Jay-Z,97,-,97,1,2003,4,12
Straight Out Of Line,Godsmack,73,-,73,1,2003,4,19
My Front Porch Looking In,Lonestar,74,-,74,1,2003,4,19
Pump It Up,Joe Budden,75,-,75,1,2003,4,19
Soldier's Heart,R. Kelly,80,-,80,1,2003,4,19
Stupid Girl,Cold,95,-,95,1,2003,4,19
Yeah Yeah U Know It,Keith Murray Featuring Def Squad,99,-,99,1,2003,4,19
So Gone,Monica,66,-,66,1,2003,4,26
Snake,R. Kelly Featuring Big Tigger,69,-,69,1,2003,4,26
Price To Play,Staind,70,-,70,1,2003,4,26
Losing Grip,Avril Lavigne,71,-,71,1,2003,4,26
Magic Stick,Lil' Kim Featuring 50 Cent,75,-,75,1,2003,4,26
Stay Gone,Jimmy Wayne,76,-,76,1,2003,4,26
In Love Wit Chu,Da Brat Featuring Cherish,87,-,87,1,2003,4,26
Like A Pimp,David Banner Featuring Lil' Flip,97,-,97,1,2003,4,26
Try It On My Own,Whitney Houston,99,-,99,1,2003,4,26
God Bless The U.S.A.,American Idol Finalists,4,-,4,1,2003,5,3
I'm Glad,Jennifer Lopez,64,-,64,1,2003,5,3
The Remedy (I Won't Worry),Jason Mraz,70,-,70,1,2003,5,3
Beer For My Horses,Toby Keith Duet With Willie Nelson,74,-,74,1,2003,5,3
I Wish I Wasn't,Heather Headley,78,-,78,1,2003,5,3
Roll Wit M.V.P. (We Be Like! The La La Song),Stagga Lee,94,-,94,1,2003,5,3
I Love You,Dru Hill,95,-,95,1,2003,5,3
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,98,-,98,1,2003,5,3
Rock Wit U (Awww Baby),Ashanti,56,-,56,1,2003,5,10
Intuition,Jewel,73,-,73,1,2003,5,10
P***ycat,Missy &quot;Misdemeanor&quot; Elliott,77,-,77,1,2003,5,10
Send The Pain Below,Chevelle,78,-,78,1,2003,5,10
Miss Independent,Kelly Clarkson,61,-,61,1,2003,5,17
Stuck,Stacie Orrico,65,-,65,1,2003,5,17
Step Daddy,Hitman Sammy Sam,90,-,90,1,2003,5,17
Right Thurr,Chingy,97,-,97,1,2003,5,17
How You Want That,Loon Featuring Kelis,98,-,98,1,2003,5,17
Crazy In Love,Beyonce Featuring Jay Z,58,-,58,1,2003,5,24
The Love Song,Jeff Bates,73,-,73,1,2003,5,24
Calling All Angels,Train,74,-,74,1,2003,5,24
Forever And For Always,Shania Twain,75,-,75,1,2003,5,24
Seven Nation Army,The White Stripes,76,-,76,1,2003,5,24
"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,61,-,61,1,2003,5,31
Red Dirt Road,Brooks & Dunn,67,-,67,1,2003,5,31
P.I.M.P.,50 Cent,70,-,70,1,2003,5,31
Almost Home,Craig Morgan,71,-,71,1,2003,5,31
Tal Vez,Ricky Martin,74,-,74,1,2003,5,31
Are You Happy Now?,Michelle Branch,91,-,91,1,2003,5,31
Act A Fool,Ludacris,72,-,72,1,2003,6,7
Like Glue,Sean Paul,89,-,89,1,2003,6,7
Flipside,Freeway Featuring Peedi Crakk,95,-,95,1,2003,6,7
Make Me A Song,Kiley Dean,99,-,99,1,2003,6,7
Into You,Fabolous Featuring Tamia Or Ashanti,67,-,67,1,2003,6,14
Where Is The Love?,The Black Eyed Peas,69,-,69,1,2003,6,14
I Want You,Thalia Featuring Fat Joe,71,-,71,1,2003,6,14
In Those Jeans,Ginuwine,72,-,72,1,2003,6,14
Celebrity,Brad Paisley,74,-,74,1,2003,6,14
Come Over,Aaliyah,75,-,75,1,2003,6,14
Frontin',Pharrell Featuring Jay-Z,89,-,89,1,2003,6,14
"Swing, Swing",The All-American Rejects,71,-,71,1,2003,6,21
Tell Me Something Bad About Tulsa,George Strait,72,-,72,1,2003,6,21
Help Pour Out The Rain (Lacey's Song),Buddy Jewell,86,-,86,1,2003,6,21
What Was I Thinkin',Dierks Bentley,90,-,90,1,2003,6,21
This Is The Night,Clay Aiken,1,-,1,1,2003,6,28
Flying Without Wings,Ruben Studdard,2,-,2,1,2003,6,28
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",66,-,66,1,2003,6,28
Feel Good Time,P!nk Featuring William Orbit,69,-,69,1,2003,6,28
Dance With My Father,Luther Vandross,71,-,71,1,2003,6,28
Addicted,Simple Plan,73,-,73,1,2003,6,28
It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,75,-,75,1,2003,6,28
"No Shoes, No Shirt, No Problems",Kenny Chesney,78,-,78,1,2003,6,28
My Love Is Like... Wo,Mya,81,-,81,1,2003,6,28
Love At 1st Sight,Mary J. Blige Featuring Method Man,63,-,63,1,2003,7,5
The Truth About Men,Tracy Byrd,79,-,79,1,2003,7,5
What The World Needs,Wynonna,80,-,80,1,2003,7,5
Let's Get Down,Bow Wow Featuring Baby,90,-,90,1,2003,7,5
99.9% Sure (I've Never Been Here Before),Brian McComas,77,-,77,1,2003,7,12
Real Good Man,Tim McGraw,78,-,78,1,2003,7,12
Thoia Thoing,R. Kelly,70,-,70,1,2003,7,19
Then They Do,Trace Adkins,74,-,74,1,2003,7,19
"Pon De River, Pon De Bank",Elephant Man,98,-,98,1,2003,7,19
Signs Of Love Makin',Tyrese,69,-,69,1,2003,7,26
The Boys Of Summer,The Ataris,71,-,71,1,2003,7,26
Just Because,Jane's Addiction,72,-,72,1,2003,7,26
Faint,Linkin Park,73,-,73,1,2003,7,26
Girls And Boys,Good Charlotte,75,-,75,1,2003,7,26
Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,77,-,77,1,2003,7,26
Senorita,Justin Timberlake,66,-,66,1,2003,8,2
Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,74,-,74,1,2003,8,2
Hole In The World,Eagles,77,-,77,1,2003,8,2
So Far Away,Staind,78,-,78,1,2003,8,2
Officially Missing You,Tamia,88,-,88,1,2003,8,2
24's,T.I.,99,-,99,1,2003,8,2
Did My Time,Korn,38,-,38,1,2003,8,9
Light Your A** On Fire,Busta Rhymes,69,-,69,1,2003,8,9
"Can't Stop, Won't Stop",Young Gunz,72,-,72,1,2003,8,9
This One's For The Girls,Martina McBride,73,-,73,1,2003,8,9
A Few Questions,Clay Walker,78,-,78,1,2003,8,9
Damn!,YoungBloodZ Featuring Lil Jon,85,-,85,1,2003,8,9
Na Na Na,112 Featuring Super Cat,86,-,86,1,2003,8,9
Amazing,Josh Kelley,96,-,96,1,2003,8,9
So Yesterday,Hilary Duff,53,-,53,1,2003,8,16
Baby Boy,Beyonce Featuring Sean Paul,57,-,57,1,2003,8,16
Who Wouldn't Wanna Be Me,Keith Urban,75,-,75,1,2003,8,16
Show Me How To Live,Audioslave,80,-,80,1,2003,8,16
She Only Smokes When She Drinks,Joe Nichols,81,-,81,1,2003,8,16
Feelin' Freaky,Nick Cannon Featuring B2K,93,-,93,1,2003,8,16
Crazy,Javier,96,-,96,1,2003,8,16
Step In The Name Of Love,R. Kelly,68,-,68,1,2003,8,23
Suga Suga,Baby Bash Featuring Frankie J,71,-,71,1,2003,8,23
Tough Little Boys,Gary Allan,75,-,75,1,2003,8,23
Harder To Breathe,Maroon 5,76,-,76,1,2003,8,23
I Melt,Rascal Flatts,79,-,79,1,2003,8,23
Someday,Nickelback,81,-,81,1,2003,8,23
Where The Hood At?,DMX,88,-,88,1,2003,8,23
Walk A Little Straighter,Billy Currington,93,-,93,1,2003,8,23
Danger,Erykah Badu,94,-,94,1,2003,8,23
Cop That Sh#!,Timbaland & Magoo Featuring Missy Elliott,95,-,95,1,2003,8,23
Lovin' All Night,Patty Loveless,97,-,97,1,2003,8,23
Never (Past Tense),The Roc Project Featuring Tina Arena,98,-,98,1,2003,8,23
Here Without You,3 Doors Down,64,-,64,1,2003,8,30
Bigger Than My Body,John Mayer,66,-,66,1,2003,8,30
Wave On Wave,Pat Green,77,-,77,1,2003,8,30
Rain On Me,Ashanti,78,-,78,1,2003,8,30
Heaven,Live,79,-,79,1,2003,8,30
Roun' The Globe,Nappy Roots,97,-,97,1,2003,8,30
Ooh!,Mary J. Blige,73,-,73,1,2003,9,6
Walked Outta Heaven,Jagged Edge,76,-,76,1,2003,9,6
Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,81,-,81,1,2003,9,6
Stand Up,Ludacris Featuring Shawnna,84,-,84,1,2003,9,6
I Love This Bar,Toby Keith,85,-,85,1,2003,9,6
Got Some Teeth,Obie Trice,99,-,99,1,2003,9,6
Simply Being Loved (Somnambulist),BT,98,-,98,1,2003,9,13
Holidae In,Chingy Featuring Ludacris & Snoop Dogg,73,-,73,1,2003,9,20
Low,Kelly Clarkson,74,-,74,1,2003,9,20
White Flag,Dido,75,-,75,1,2003,9,20
Why Can't I?,Liz Phair,76,-,76,1,2003,9,20
(There's Gotta Be) More To Life,Stacie Orrico,84,-,84,1,2003,9,20
Find A Way,Dwele,99,-,99,1,2003,9,20
Bright Lights,matchbox twenty,73,-,73,1,2003,9,27
Weak And Powerless,A Perfect Circle,78,-,78,1,2003,9,27
The Way You Move,OutKast Featuring Sleepy Brown,83,-,83,1,2003,9,27
Knock Knock,Monica,89,-,89,1,2003,9,27
Rest In Pieces,Saliva,93,-,93,1,2003,9,27
Rubberneckin',Elvis Presley,94,-,94,1,2003,9,27
Naggin,Ying Yang Twins,95,-,95,1,2003,9,27
Read Your Mind,Avant,71,-,71,1,2003,10,4
Cowboys Like Us,George Strait,76,-,76,1,2003,10,4
If I Can't,50 Cent,77,-,77,1,2003,10,4
Honesty (Write Me A List),Rodney Atkins,94,-,94,1,2003,10,4
Milkshake,Kelis,95,-,95,1,2003,10,4
Sympathy For The Devil (Remixes),The Rolling Stones,97,-,97,1,2003,10,4
Stacy's Mom,Fountains Of Wayne,59,-,59,1,2003,10,11
Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri,75,-,75,1,2003,10,11
I Can Only Imagine,MercyMe,76,-,76,1,2003,10,11
Pass That Dutch,Missy Elliott,48,-,48,1,2003,10,18
Hey Ya!,OutKast,57,-,57,1,2003,10,18
Trouble,P!nk,71,-,71,1,2003,10,18
Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.,75,-,75,1,2003,10,18
Hot & Wet,112 Featuring Ludacris,89,-,89,1,2003,10,18
Party To Damascus,Wyclef Jean Featuring Missy Elliott,90,-,90,1,2003,10,18
"Roc Ya Body &quot;Mic Check 1,2&quot;",M.V.P. (Most Valuable Playas) Featuring Stagga Lee,94,-,94,1,2003,10,18
Another Postcard (Chimps),Barenaked Ladies,95,-,95,1,2003,10,18
Waiting For You,Seal,98,-,98,1,2003,10,18
Me Against The Music,Britney Spears Featuring Madonna,50,-,50,1,2003,10,25
Bad Boy This Bad Boy That,Bad Boy's Da Band,60,-,60,1,2003,10,25
Fallen,Sarah McLachlan,73,-,73,1,2003,10,25
The First Cut Is The Deepest,Sheryl Crow,75,-,75,1,2003,10,25
Clap Back,Ja Rule,84,-,84,1,2003,10,25
It's My Life,No Doubt,69,-,69,1,2003,11,1
Perfect,Simple Plan,72,-,72,1,2003,11,1
Chicks Dig It,Chris Cagle,73,-,73,1,2003,11,1
Hell Yeah,Montgomery Gentry,74,-,74,1,2003,11,1
Stunt 101,G Unit,80,-,80,1,2003,11,1
Love You More,Ginuwine,93,-,93,1,2003,11,1
This Is How We Do,Big Tymers,98,-,98,1,2003,11,1
Breathe,Michelle Branch,63,-,63,1,2003,11,8
Numb,Linkin Park,66,-,66,1,2003,11,8
Walking In Memphis,Lonestar,73,-,73,1,2003,11,8
You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,77,-,77,1,2003,11,8
There Goes My Life,Kenny Chesney,78,-,78,1,2003,11,8
Forthenight,Musiq,99,-,99,1,2003,11,8
Change Clothes,JAY-Z,54,-,54,1,2003,11,15
You Don't Know My Name,Alicia Keys,63,-,63,1,2003,11,15
Still Frame,Trapt,76,-,76,1,2003,11,15
"Me, Myself And I",Beyonce,78,-,78,1,2003,11,15
Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,92,-,92,1,2003,11,15
Gigolo,Nick Cannon Featuring R. Kelly,95,-,95,1,2003,11,15
Take Me Away,Fefe Dobson,96,-,96,1,2003,11,15
Invisible,Clay Aiken,57,-,57,1,2003,11,22
Away From Me,Puddle Of Mudd,74,-,74,1,2003,11,22
More & More,Joe,78,-,78,1,2003,11,22
Shake That Monkey,Too Short Featuring Lil Jon & The East Side Boyz,97,-,97,1,2003,11,22
I Can't Take You Anywhere,Scotty Emerick With Toby Keith,98,-,98,1,2003,11,22
The Voice Within,Christina Aguilera,62,-,62,1,2003,11,29
Fallen,Mya,68,-,68,1,2003,11,29
Drinkin' Bone,Tracy Byrd,74,-,74,1,2003,11,29
(I Hate) Everything About You,Three Days Grace,75,-,75,1,2003,11,29
Through The Wire,Kanye West,94,-,94,1,2003,11,29
I Need You Now,Smokie Norful,96,-,96,1,2003,11,29
Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,62,-,62,1,2003,12,6
My Baby,Bow Wow Featuring Jagged Edge,71,-,71,1,2003,12,6
She's Not Just A Pretty Face,Shania Twain,74,-,74,1,2003,12,6
Gangsta Nation,Westside Connection Featuring Nate Dogg,77,-,77,1,2003,12,6
One More Chance,Michael Jackson,95,-,95,1,2003,12,6
F**k It (I Don't Want You Back),Eamon,98,-,98,1,2003,12,6
Remember When,Alan Jackson,61,-,61,1,2003,12,13
Not Today,Mary J. Blige Featuring Eve,67,-,67,1,2003,12,13
I Wanna Do It All,Terri Clark,70,-,70,1,2003,12,13
Watch The Wind Blow By,Tim McGraw,75,-,75,1,2003,12,13
Long Black Train,Josh Turner,96,-,96,1,2003,12,13
Pop That Booty,Marques Houston Featuring Jermaine &quot;JD&quot; Dupri,97,-,97,1,2003,12,13
Are You Gonna Be My Girl,Jet,73,-,73,1,2003,12,20
Hit That,The Offspring,74,-,74,1,2003,12,20
Little Moments,Brad Paisley,76,-,76,1,2003,12,20
Hotel,Cassidy Featuring R. Kelly,82,-,82,1,2003,12,20
Badaboom,B2K Featuring Fabolous,91,-,91,1,2003,12,20
Neva Eva,Trillville,99,-,99,1,2003,12,20
With You,Jessica Simpson,65,-,65,1,2003,12,27
American Soldier,Toby Keith,69,-,69,1,2003,12,27
You,Ryan Duarte,92,-,92,1,2003,12,27
Alone,Lasgo,95,-,95,1,2003,12,27
Gangsta Girl,Big Tymers Featuring R. Kelly,97,-,97,1,2003,12,27
Sorry 2004,Ruben Studdard,58,-,58,1,2004,1,3
Splash Waterfalls,Ludacris,74,-,74,1,2004,1,3
Megalomaniac,Incubus,75,-,75,1,2004,1,3
I'm Still In Love With You,Sean Paul Featuring Sasha,82,-,82,1,2004,1,3
In My Life,Juvenile Featuring Mannie Fresh,89,-,89,1,2004,1,3
Freek-A-Leek,Petey Pablo,99,-,99,1,2004,1,3
Yeah!,Usher Featuring Lil Jon & Ludacris,53,-,53,1,2004,1,10
My Immortal,Evanescence,70,-,70,1,2004,1,10
I Am The Highway,Audioslave,71,-,71,1,2004,1,10
The Set Up,Obie Trice Featuring Nate Dogg,73,-,73,1,2004,1,10
Rubber Band Man,T.I.,77,-,77,1,2004,1,10
In My Daughter's Eyes,Martina McBride,72,-,72,1,2004,1,17
Tipsy,J-Kwon,96,-,96,1,2004,1,17
Dirt Off Your Shoulder,JAY-Z,68,-,68,1,2004,1,24
Perfect,Sara Evans,71,-,71,1,2004,1,24
Hot Mama,Trace Adkins,73,-,73,1,2004,1,24
I Love You This Much,Jimmy Wayne,74,-,74,1,2004,1,24
I Wish,Jo Dee Messina,75,-,75,1,2004,1,24
Toxic,Britney Spears,53,-,53,1,2004,1,31
One Call Away,Chingy Featuring J. Weav,54,-,54,1,2004,1,31
No Better Love,Young Gunz Featuring Rell,76,-,76,1,2004,1,31
Some Girls (Dance With Women),JC Chasez Featuring Dirt McGirt,98,-,98,1,2004,1,31
Falls On Me,Fuel,65,-,65,1,2004,2,7
Sweet Southern Comfort,Buddy Jewell,73,-,73,1,2004,2,7
When I Look To The Sky,Train,74,-,74,1,2004,2,7
Figured You Out,Nickelback,76,-,76,1,2004,2,7
One Day At A Time,Tupac With Eminem Featuring The Outlawz,93,-,93,1,2004,2,7
Dude,Beenie Man Featuring Ms. Thing,99,-,99,1,2004,2,7
Wanna Get To Know You,G-Unit Featuring Joe,62,-,62,1,2004,2,14
Hold On,Good Charlotte,63,-,63,1,2004,2,14
This Love,Maroon 5,66,-,66,1,2004,2,14
You'll Think Of Me,Keith Urban,69,-,69,1,2004,2,14
100 Years,Five For Fighting,70,-,70,1,2004,2,14
I'm Really Hot,Missy Elliott,72,-,72,1,2004,2,14
Just A Little While,Janet Jackson,47,-,47,1,2004,2,21
I Can't Wait,Sleepy Brown Featuring OutKast,58,-,58,1,2004,2,21
When The Sun Goes Down,Kenny Chesney & Uncle Kracker,70,-,70,1,2004,2,21
I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,72,-,72,1,2004,2,21
Mayberry,Rascal Flatts,74,-,74,1,2004,2,21
Slow,Kylie Minogue,93,-,93,1,2004,2,21
Gal Yuh Ah Lead,T.O.K.,94,-,94,1,2004,2,21
Come Clean,Hilary Duff,53,-,53,1,2004,2,28
Love's Divine,Seal,93,-,93,1,2004,2,28
Wild West Show,Big & Rich,94,-,94,1,2004,2,28
If I Ain't Got You,Alicia Keys,64,-,64,1,2004,3,6
Bounce,Sarah Connor,67,-,67,1,2004,3,6
Work It (Reinvention),Nelly,71,-,71,1,2004,3,6
Behind Blue Eyes,Limp Bizkit,72,-,72,1,2004,3,6
Songs About Rain,Gary Allan,75,-,75,1,2004,3,6
Something Happened On The Way To Heaven,Deborah Cox,95,-,95,1,2004,3,6
Burn,Usher,65,-,65,1,2004,3,13
Game Over (Flip),Lil' Flip,67,-,67,1,2004,3,13
Don't Take Your Love Away,Avant,74,-,74,1,2004,3,13
All Falls Down,Kanye West Featuring Syleena Johnson,75,-,75,1,2004,3,13
Roses,OutKast,81,-,81,1,2004,3,13
Ride Wit U,Joe Featuring G-Unit,86,-,86,1,2004,3,13
Maps,Yeah Yeah Yeahs,98,-,98,1,2004,3,13
The Reason,Hoobastank,62,-,62,1,2004,3,20
Letters From Home,John Michael Montgomery,66,-,66,1,2004,3,20
F.U.R.B. (F U Right Back),Frankee,67,-,67,1,2004,3,20
I Miss You,Blink-182,70,-,70,1,2004,3,20
My Band,D12,72,-,72,1,2004,3,20
You Raise Me Up,Josh Groban,75,-,75,1,2004,3,20
Love Me Right (Oh Sheila),Angel City Featuring Lara McAllen,97,-,97,1,2004,3,20
Pull Up,Mr. Vegas,98,-,98,1,2004,3,20
Overnight Celebrity,Twista,60,-,60,1,2004,3,27
Naughty Girl,Beyonce,68,-,68,1,2004,3,27
Desperately,George Strait,73,-,73,1,2004,3,27
8th World Wonder,Kimberley Locke,78,-,78,1,2004,3,27
Solitaire,Clay Aiken,4,-,4,1,2004,4,3
Take My Breath Away,Jessica Simpson,59,-,59,1,2004,4,3
Don't Tell Me,Avril Lavigne,65,-,65,1,2004,4,3
Paint Me A Birmingham,Tracy Lawrence,67,-,67,1,2004,4,3
Baby I Love U,Jennifer Lopez,72,-,72,1,2004,4,3
I Want You,Janet Jackson,74,-,74,1,2004,4,3
Meant To Live,Switchfoot,75,-,75,1,2004,4,3
Cold Hard Bitch,Jet,76,-,76,1,2004,4,3
Good Little Girls,Blue County,77,-,77,1,2004,4,3
Hey Mama,The Black Eyed Peas,67,-,67,1,2004,4,10
Let's Be Us Again,Lonestar,71,-,71,1,2004,4,10
That's What She Gets For Loving Me,Brooks & Dunn,73,-,73,1,2004,4,10
Redneck Woman,Gretchen Wilson,76,-,76,1,2004,4,10
Lying From You,Linkin Park,78,-,78,1,2004,4,10
Happy People,R. Kelly,80,-,80,1,2004,4,10
Leave (Get Out),JoJo,99,-,99,1,2004,4,10
If You Ever Stop Loving Me,Montgomery Gentry,74,-,74,1,2004,4,17
Simple Life,Carolyn Dawn Johnson,79,-,79,1,2004,4,17
Got It Twisted,Mobb Deep,99,-,99,1,2004,4,17
whoknows,Musiq,75,-,75,1,2004,4,24
Culo,Pitbull Featuring Lil Jon,84,-,84,1,2004,4,24
Dip It Low,Christina Milian,87,-,87,1,2004,4,24
Tear It Up,"Yung Wun Featuring DMX, Lil' Flip & David Banner",93,-,93,1,2004,4,24
Jook Gal (Wine Wine),Elephant Man,99,-,99,1,2004,4,24
Confessions Part II,Usher,48,-,48,1,2004,5,1
Whiskey Girl,Toby Keith,68,-,68,1,2004,5,1
Slow Motion,Juvenile Featuring Soulja Slim,70,-,70,1,2004,5,1
Love Song,311,72,-,72,1,2004,5,1
Move Ya Body,Nina Sky Featuring Jabba,73,-,73,1,2004,5,1
Last Train Home,Lostprophets,75,-,75,1,2004,5,1
What's It Like,Jagged Edge,85,-,85,1,2004,5,1
Last One Standing,Emerson Drive,98,-,98,1,2004,5,1
Just For You,Lionel Richie,99,-,99,1,2004,5,1
Jesus Walks,Kanye West,68,-,68,1,2004,5,8
Loco,David Lee Murphy,74,-,74,1,2004,5,8
It Only Hurts When I'm Breathing,Shania Twain,76,-,76,1,2004,5,8
Time's Up!,Jadakiss Featuring Nate Dogg,91,-,91,1,2004,5,8
99 Problems,JAY-Z,94,-,94,1,2004,5,8
Get No Better,Cassidy Featuring Mashonda,98,-,98,1,2004,5,8
Whats Happnin!,Ying Yang Twins Featuring Trick Daddy,99,-,99,1,2004,5,8
Slither,Velvet Revolver,64,-,64,1,2004,5,15
On Fire,Lloyd Banks,65,-,65,1,2004,5,15
Heaven,Los Lonely Boys,67,-,67,1,2004,5,15
Ch-Check It Out,Beastie Boys,68,-,68,1,2004,5,15
Ocean Avenue,Yellowcard,74,-,74,1,2004,5,15
Passenger Seat,SHeDAISY,77,-,77,1,2004,5,15
The Outsider,A Perfect Circle,79,-,79,1,2004,5,15
Talk About Our Love,Brandy Featuring Kanye West,88,-,88,1,2004,5,15
Everytime,Britney Spears,61,-,61,1,2004,5,22
Southside,Lloyd Featuring Ashanti,73,-,73,1,2004,5,22
I Can't Sleep,Clay Walker,75,-,75,1,2004,5,22
Scandalous,Mis-Teeq,82,-,82,1,2004,5,22
Turn Me On,Kevin Lyttle Featuring Spragga Benz,94,-,94,1,2004,5,22
Selfish,Slum Village Featuring Kanye West & John Legend,99,-,99,1,2004,5,22
Where Are We Runnin'?,Lenny Kravitz,69,-,69,1,2004,5,29
Still In Love,Teena Marie Featuring Baby,70,-,70,1,2004,5,29
This Way,Dilated Peoples Featuring Kanye West,78,-,78,1,2004,5,29
Float On,Modest Mouse,97,-,97,1,2004,5,29
I'm Ready,Cherie,99,-,99,1,2004,5,29
Welcome Back,Mase,52,-,52,1,2004,6,5
U Should've Known Better,Monica,67,-,67,1,2004,6,5
Everything,Alanis Morissette,76,-,76,1,2004,6,5
I Go Back,Kenny Chesney,66,-,66,1,2004,6,12
Live Like You Were Dying,Tim McGraw,73,-,73,1,2004,6,12
Somebody,Reba McEntire,78,-,78,1,2004,6,12
You're The Only One,Maria Mena,88,-,88,1,2004,6,12
Locked Up,Akon Featuring Styles P.,97,-,97,1,2004,6,12
Hole In The Head,Sugababes,98,-,98,1,2004,6,12
Diary,Alicia Keys Featuring Tony! Toni! Tone!,58,-,58,1,2004,6,19
Hey Good Lookin',"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait",68,-,68,1,2004,6,19
Whiskey Lullaby,Brad Paisley Featuring Alison Krauss,71,-,71,1,2004,6,19
I Like That,"Houston Featuring Chingy, Nate Dogg & I-20",75,-,75,1,2004,6,19
Sunshine,Lil' Flip Featuring Lea,78,-,78,1,2004,6,19
Lean Back,Terror Squad,52,-,52,1,2004,6,26
Accidentally In Love,Counting Crows,61,-,61,1,2004,6,26
I Got A Feelin',Billy Currington,73,-,73,1,2004,6,26
So Sexy,Twista Featuring R. Kelly,75,-,75,1,2004,6,26
So Fly,NB Ridaz Featuring Gemini,93,-,93,1,2004,6,26
Goodies,Ciara Featuring Petey Pablo,94,-,94,1,2004,6,26
Coo-Coo Chee,Ric-A-Che Featuring Darija,97,-,97,1,2004,6,26
Pieces Of Me,Ashlee Simpson,61,-,61,1,2004,7,3
Away From The Sun,3 Doors Down,66,-,66,1,2004,7,3
How Come,D12,70,-,70,1,2004,7,3
Feelin' Way Too Damn Good,Nickelback,73,-,73,1,2004,7,3
I Want To Live,Josh Gracin,76,-,76,1,2004,7,3
New Day,Patti LaBelle,95,-,95,1,2004,7,3
Take Me Out,Franz Ferdinand,100,-,100,1,2004,7,3
I Believe,Fantasia,1,-,1,1,2004,7,10
Freaks,Play-N-Skillz Featuring Krayzie Bone & Adina Howard,69,-,69,1,2004,7,10
How Far,Martina McBride,72,-,72,1,2004,7,10
Girls Lie Too,Terri Clark,73,-,73,1,2004,7,10
Let's Get Away,T.I.,88,-,88,1,2004,7,10
Headsprung,LL Cool J,89,-,89,1,2004,7,10
Dreams,Diana DeGarmo,14,-,14,1,2004,7,17
Why?,Jadakiss Featuring Anthony Hamilton,61,-,61,1,2004,7,17
No Problem,Lil Scrappy,88,-,88,1,2004,7,17
Diamond In The Back,Ludacris,94,-,94,1,2004,7,17
