year,title,artist,peak_pos,last_pos,weeks,rank,change,spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2012,4:00 AM,melanie fiona,81,81,8,96,-15,3vMIAawCfJdR6A86JGqLc5,0.455,0.0671,128.415,0.0464,0.628,0,4,0.445,0,290027,-7.297,0.336,0
2017,4:00 AM,2 chainz,55,90,12,95,-5,1nX9KhK3Fff27SnrIor2Yb,0.513,0.15,75.018,0.452,0.122,0,4,0.796,6,255560,-7.14,0.235,0
2017,4:44,jay-z,35,35,2,61,-26,3JsrX94xQAA439lv3gVTDu,0.207,0.129,59.077,0.93,0.862,0,4,0.694,0,721580,-16.653,0.652,1
2005,1,ryan cabrera,18,57,20,62,-5,0jdeV5dSB3kUBRqe1xQJbh,0.4,0.151,96.938,0.0241,0.459,0,4,0.598,6,203546,-10.054,0.369,1
2009,3,britney spears,1,9,20,10,-1,7eusnHDVdvqjUGAigj77XC,0.717,0.227,134.991,0.0453,0.0527,0,4,0.704,5,213173,-1.919,0.772,0
2016,9,drake,45,72,5,87,-15,4uCAKqQQYJaIvyzq4sZkaO,0.71,0.237,99.994,0.0437,0.000907,0.000783,4,0.699,2,255787,-7.381,0.0388,1
2014,18,one direction,87,0,1,87,New,3JjnGLK8IxkNLvo8Lb3KOM,0.582,0.119,124.038,0.0313,0.22,0,4,0.681,6,248360,-7.76,0.221,0
2013,22,taylor swift,20,55,20,65,-10,0fuP0ykgrDSxk5odNU7Gy2,0.731,0.0623,104.008,0.0375,0.00294,0.00134,4,0.665,7,231867,-6.531,0.686,1
2014,23,mike will made-it,11,48,23,50,-2,4if4AqzRQgEtTF1xXddmoc,0.606,0.105,140.015,0.0581,0.000325,1.50E-05,4,0.856,9,252080,-5.308,0.315,1
2015,100,the game,82,88,10,100,-12,3RG3Juyt2Jz2sKtzkj7IRX,0.518,0.172,108.036,0.235,0.023,0,4,0.799,4,343077,-9.459,0.385,1
2010,143,bobby brackins,76,85,11,93,-8,4DdaOUTsCqz4cLK3z92oso,0.758,0.0238,98.021,0.106,0.0113,0,4,0.834,11,206813,-7.135,0.759,1
2016,679,fetty wap,4,39,40,40,-1,5NQbUaeTEOGdD6hHcre0dZ,0.717,0.625,190.05,0.318,0.00256,0,4,0.618,7,196693,-5.738,0.603,1
2001,911,wyclef jean,38,85,19,96,-11,6PVOG18IfMizQqK1o031su,0.684,0.115,87.008,0.199,0.258,7.06E-06,4,0.718,9,259240,-8.071,0.676,0
2008,1234,feist,51,59,15,85,-26,2CzWeyC9zlDpIOZPUUKrBW,0.491,0.0859,109.933,0.0504,0.219,1.99E-06,4,0.71,2,183667,-7.382,0.638,1
2010,1901,phoenix,84,99,13,99,0,5JtPGzRgrWxkXX9LoROq3d,0.825,0.192,144.085,0.0429,0.0564,5.80E-05,4,0.604,0,193107,-5.373,0.707,1
2007,1973,james blunt,73,81,3,100,-19,1BV0m40U0M4t1SLIsDnwZl,0.668,0.0789,123.007,0.0269,0.0652,0.00664,4,0.72,9,280027,-7.928,0.768,1
2005,1985,bowling for soup,23,67,20,75,-8,4UuHWIkAWnN176A2rx7YFB,0.878,0.337,119.955,0.0665,0.000246,0,4,0.607,4,193000,-4.422,0.853,1
2013,1994,jason aldean,52,76,11,94,-18,3T4PudlSVFS2xDZ0NnyMwq,0.774,0.109,159.918,0.0382,0.18,0,4,0.595,11,242680,-6.692,0.825,0
2016,1999,prince,12,41,30,27,14,2H7PHVdQ3mXqEHXcvclTB0,0.73,0.0843,118.523,0.0767,0.137,0,4,0.866,5,379267,-8.201,0.625,1
2015,3500,travi$ scott,82,0,1,82,New,49SrrLoFCJgy3zHMq3COto,0.575,0.21,124.022,0.195,0.277,1.51E-05,4,0.767,8,461842,-6.949,0.349,0
2017,4422,drake,50,50,2,82,-32,2fkeWbM6iqTw7oGHTYm2lw,0.247,0.113,111.974,0.0393,0.499,0.0239,4,0.621,11,186293,-12.291,0.221,0
2002,#1,nelly,22,63,20,72,-9,7rSj5gEdN5KgHwbnEVAZ4b,0.6,0.419,89.985,0.228,0.0236,0,4,0.792,7,198773,-6.157,0.463,1
2013,#Beautiful,mariah carey,15,86,16,95,-9,3zt5ApnBLg9odHEDOd24IM,0.736,0.171,107.006,0.0374,0.518,3.07E-06,4,0.67,4,202027,-7.311,0.503,1
2014,#SELFIE,the chainsmokers,16,79,11,95,-16,0zkiQH567SDLqfWNBaU3hv,0.915,0.0788,127.984,0.233,0.0136,9.03E-06,4,0.808,0,183750,-3.277,0.647,1
2013,#thatPOWER,will.i.am,17,71,16,85,-14,6LuHcIZmMG5LU2hiqxscNb,0.604,0.0712,127.999,0.0583,0.00104,4.51E-05,4,0.789,6,280040,-6.093,0.398,0
2016,$ave Dat Money,lil dicky,71,95,19,89,6,6AoYWCzsDls6c61Zp5qTuU,0.697,0.224,98.012,0.23,0.114,0,4,0.858,2,290836,-5.361,0.364,1
2000,(Hot S**t) Country Grammar,nelly,7,36,34,49,-13,2Lg4kvhOrPhpGEZmSe7VAN,0.673,0.155,162.781,0.108,0.00802,0,4,0.872,2,287000,-6.879,0.527,1
2004,(I Hate) Everything About You,three days grace,55,69,20,66,3,6rUp7v3l8yC4TKxAAR5Bmx,0.83,0.139,89.342,0.0421,0.00461,0,4,0.498,6,231480,-5.157,0.453,0
2005,(I Never Promised You A) Rose Garden,martina mcbride,98,98,2,100,-2,6goA1BGYQSSricr7oV8r8m,0.728,0.133,131.908,0.0478,0.503,0,4,0.577,2,195573,-6.944,0.78,1
2009,(If You're Wondering If I Want You To) I Want You To,weezer,81,98,9,93,5,5VBuNc5ZzLxiZCFHpPPhLu,0.894,0.0531,110.024,0.0397,0.00133,0.000827,4,0.686,11,208560,-5.065,0.72,0
2011,(It) Feels So Good,steven tyler,35,91,4,100,-9,3xuzbqmCALn6Ua8JeOrnZl,0.952,0.216,122,0.0515,0.0631,0,4,0.738,6,211293,-3.386,0.899,0
2010,(I've Had) The Time Of My Life,glee cast,38,0,1,38,New,1wYDz3NuqlGxPnQDX8OuV6,0.77,0.0879,110.705,0.0472,0.0765,0,4,0.459,9,277560,-5.996,0.168,1
2012,(Kissed You) Good Night,gloriana,34,39,20,46,-7,3d1Hbu6v1uJ2rTClxKYYRl,0.747,0.11,118.97,0.0292,0.0807,0,4,0.523,11,232903,-6.125,0.294,1
2004,(Reach Up For The) Sunrise,duran duran,89,96,5,100,-4,16LctI8Cnwk0vQWqnDStLg,0.833,0.14,127.022,0.0371,7.28E-05,0.00517,4,0.621,7,205467,-3.948,0.465,0
2004,(There's Gotta Be) More To Life,stacie orrico,30,62,20,82,-20,2x5qF66rFO6DERBMNkQAqn,0.922,0.189,89.841,0.0958,0.0917,0,4,0.58,1,200387,-3.785,0.649,1
2006,(When You Gonna) Give It Up To Me,sean paul feat. keyshia cole,3,32,22,44,-12,6k8uthjEbttfWXcGaNTQGD,0.761,0.041,95.824,0.225,0.067,0,4,0.711,8,243880,-3.04,0.718,1
2000,(You Drive Me) Crazy,britney spears,10,87,20,99,-12,1DSJNBNhGZCigg9ll5VeZv,0.939,0.32,104.001,0.0341,0.0534,0,4,0.748,0,198067,-4.288,0.96,0
2007,(You Want To) Make A Memory,bon jovi,27,92,20,98,-6,2hgYX65FK5uSe1BWQfHH7a,0.444,0.11,147.916,0.0264,0.105,0.0002,4,0.497,0,277413,-7.155,0.149,1
2015,***Flawless,beyonce,41,100,20,97,3,7tefUew2RUuSAqHyegMoY1,0.688,0.438,140.553,0.245,0.0953,0.000645,4,0.476,1,250960,-7.799,0.352,1
2017,...Ready For It?,taylor swift,4,31,14,43,-12,2yLa0QULdQr0qAIvVwN6B5,0.776,0.155,160.053,0.127,0.0609,0,4,0.616,2,208187,-6.519,0.459,1
2014,0 To 100 / The Catch Up,drake,35,63,20,64,-1,0mkjekH9rwp4Fg5PxzUTrd,0.716,0.252,176.618,0.39,0.737,0,4,0.559,11,275227,-3.964,0.504,0
2003,'03 Bonnie & Clyde,jay-z,4,37,23,46,-9,6KJQ2dUyRlevBfFwXyqecu,0.711,0.169,89.862,0.291,0.258,0,4,0.874,9,204933,-4.378,0.341,0
2017,1 Night,lil yachty,49,73,20,67,6,40yJGQyEaBbIkXpwMFkXip,0.476,0.103,130.007,0.114,0.366,0,4,0.762,0,243270,-12.686,0.375,1
2005,1 Thing,amerie,8,61,20,64,-3,6ZyNjT2hYvfV5PuW84dp1E,0.946,0.0416,125.085,0.332,0.115,3.75E-05,5,0.636,10,238747,-4.683,0.891,0
2005,"1, 2 Step",ciara,2,44,39,50,-6,3x9LFpV6tzq0qWaBMvY2UT,0.896,0.336,98.738,0.0414,0.0176,0.00293,4,0.805,7,231773,-2.53,0.776,0
2007,"1, 2, 3, 4",feist,8,8,4,27,-19,2CzWeyC9zlDpIOZPUUKrBW,0.491,0.0859,109.933,0.0504,0.219,1.99E-06,4,0.71,2,183667,-7.382,0.638,1
2011,1+1,beyonce,57,57,2,89,-32,5cYc30W2niwnHTEx4j5Ppw,0.384,0.0661,63.345,0.0339,0.381,5.14E-06,5,0.303,6,273880,-7.342,0.261,1
2015,10 Bands,drake,58,92,13,100,-8,0Qdbw4psZRGYANJauFqbdt,0.757,0.0762,172.938,0.384,0.262,1.72E-06,4,0.825,11,177733,-3.687,0.89,0
2015,100 Grandkids,mac miller,100,0,1,100,New,4rra3z09djKcOviLkHWN6l,0.749,0.47,93.718,0.0874,0.371,0,4,0.735,10,278507,-3.766,0.373,0
2004,100 Years,five for fighting,28,47,22,49,-2,5OVofGV3opkR1hq0C9RSCu,0.561,0.264,120.471,0.0279,0.586,1.51E-05,4,0.636,7,244667,-7.482,0.293,1
2014,17 Again,brantley gilbert,90,0,1,90,New,6fqpIBPo3AW3tAsUrqDWMJ,0.303,0.157,149.918,0.0296,0.375,0,4,0.596,7,221056,-9.052,0.387,1
2017,1-800-273-8255,logic,3,14,32,19,-5,5tz69p7tJuGPeMGwNTxYuV,0.572,0.192,100.015,0.0387,0.57,0,4,0.629,5,250173,-7.733,0.386,0
2003,19 Somethin',mark wills,23,41,20,46,-5,2TBR4T0kFjlE8YtwZzBVvw,0.653,0.28,90.045,0.0575,0.0945,0,4,0.64,4,229120,-9.145,0.773,1
2014,19 You + Me,dan + shay,42,68,18,91,-23,0uZhRTUTRk3iaAlJPLswm1,0.67,0.102,151.989,0.0298,0.319,0,3,0.493,6,217407,-5.131,0.451,1
2017,1942 Flows,meek mill,83,0,1,83,New,7sLDnUauivS2vN6Z9EfUJT,0.628,0.091,121.307,0.327,0.0515,0,5,0.63,2,282667,-4.016,0.266,1
2018,1985 (Intro To The Fall Off),J. Cole,20,20,2,79,-59,7EulRO07ZgchxqKUHb8Pvc,0.648,0.182,94.336,0.445,0.147,0,4,0.678,2,190177,-5.892,0.635,1
2007,1st Time,yung joc,82,87,6,96,-9,0NNo17O7gamZqOwj42Jax0,0.601,0.123,132.995,0.207,0.0989,0,4,0.679,6,267613,-6.201,0.725,1
2014,2 On,tinashe,24,36,24,43,-7,3jVtllWS5CFFWLQng8sKsr,0.595,0.111,101.013,0.107,0.15,0,4,0.742,9,227000,-7.51,0.431,1
2016,2 Phones,kevin gates,17,42,25,45,-3,6VcAvPi9QbnUO42pQy6WVN,0.682,0.173,121.925,0.356,0.156,0,4,0.895,7,240000,-5.268,0.563,0
2012,2 Reasons,trey songz,43,56,20,62,-6,3ZwCiJr65RovmNkjj62IOi,0.746,0.178,94.033,0.0762,0.00135,0,4,0.734,11,197627,-5.088,0.539,1
2007,2 Step,unk,24,32,21,41,-9,3BI0FtyROXUzzbFztIiUZz,0.714,0.123,77.022,0.156,0.0387,0,4,0.734,9,329267,-5.923,0.65,0
2010,"2012 (It Ain""t The End)",jay sean,50,50,2,67,-17,1ERCOXHQcoLSTlgmNTlcrR,0.801,0.39,127.016,0.0386,0.226,0,4,0.718,0,222200,-2.581,0.538,1
2010,2012 (It Ain't The End),jay sean,31,69,14,88,-19,1ERCOXHQcoLSTlgmNTlcrR,0.801,0.39,127.016,0.0386,0.226,0,4,0.718,0,222200,-2.581,0.538,1
2009,21 Guns,green day,22,58,20,60,-2,64yrDBpcdwEdNY9loyEGbX,0.742,0.626,159.779,0.0355,0.0518,0,4,0.268,5,321093,-4.939,0.416,1
2003,21 Questions,50 cent,1,38,23,49,-11,41bIQPBE1lFN0mmw6Lmssz,0.807,0.0436,79.823,0.36,0.388,9.11E-05,3,0.547,6,224427,-4.083,0.919,0
2011,21st Century Girl,willow,99,0,1,99,New,4cTncORmqA1AW7URQeyNGJ,0.83,0.0891,127.958,0.0321,0.00694,0,4,0.723,4,180867,-4.4,0.844,0
2014,24 Hours,teeflii,85,90,7,96,-6,2XPxacir3WoMtJ2pbTd240,0.875,0.272,108.25,0.0391,0.0337,0,4,0.52,6,244133,-3.562,0.243,0
2000,24/7,kevon edmonds,10,84,20,87,-3,4rZB2G955dQMcjlb7e3VNB,0.627,0.0993,116.047,0.0334,0.0685,0,4,0.696,4,274267,-5.629,0.322,1
2017,24K Magic,bruno mars,4,48,41,50,-2,6b8Be6ljOzmkOmFslEb23P,0.803,0.153,106.97,0.0797,0.034,0,4,0.818,1,225983,-4.282,0.632,1
2003,24's,t.i.,78,87,15,91,-4,0iXXKoihooHII2wB7CPb5I,0.725,0.0991,162.06,0.203,0.227,0,4,0.739,6,282907,-4.301,0.582,1
2010,25 To Life,eminem,92,0,1,92,New,0dyWQoMOU9oERL6c9vxtRp,0.928,0.2,78.691,0.258,0.215,0,4,0.569,8,241587,-0.9,0.368,0
2017,2U,david guetta,16,64,11,73,-9,762UXiwEHYY97VL45sAUPR,0.654,0.241,144.971,0.0537,0.23,0,4,0.542,8,194907,-5.862,0.563,0
2000,3 Little Words,nu flavor,89,97,9,98,-1,4alLyN9my0O1SD9y097cPl,0.469,0.045,113.986,0.0278,0.504,0,4,0.709,11,256307,-7.083,0.256,0
2008,3 Peat,lil wayne,66,0,1,66,Hot Shot Debut,58PWl2rA7lU90UBvDufzWm,0.632,0.0844,79.811,0.386,0.00114,0,4,0.616,6,199427,-7.562,0.47,0
2015,30 For 30 Freestyle,drake,88,88,2,92,-4,5pJnRLlzUcRxrtYgfdUwvg,0.621,0.124,89.282,0.394,0.653,0,4,0.747,4,253935,-9.115,0.306,0
2009,3am,eminem,32,0,1,32,Hot Shot Debut,6ZZQ0vfRG81flUdm35wGd5,0.725,0.102,77.044,0.319,0.277,0,4,0.787,9,316854,-7.965,0.622,0
2017,4 Da Gang,future,92,0,1,92,New,3IJ6BBFLD2I2CH3hHFQj3O,0.474,0.229,146.244,0.355,0.0751,0,4,0.705,2,187749,-7.534,0.179,1
2003,4 Ever,lil' mo,37,88,20,96,-8,6ubNZ5edKBKH3MQKatUY3S,0.657,0.367,99.059,0.099,0.0279,4.49E-05,4,0.683,6,222947,-10.668,0.764,1
2007,4 In The Morning,gwen stefani,54,92,16,96,-4,64fSdRkaB7ksxI9suUGYmi,0.822,0.119,92.409,0.0341,0.194,0.000153,4,0.709,10,291107,-6.178,0.456,1
2010,4 Minutes,glee cast,89,0,1,89,New,5aWlISJTMKHHThgoXIYUw8,0.942,0.0764,112.938,0.0518,0.0052,0.000167,4,0.675,7,189400,-3.096,0.414,0
2006,4 Minutes,madonna,3,60,20,69,-9,1oHClQEgDmmbcEx12Kc5nZ,0.931,0.234,113.029,0.0652,0.00994,0.00696,4,0.753,2,189693,-4.922,0.767,1
2009,4 My Town (Play Ball),birdman,90,0,3,90,Re-Entry,3922kPG1JMYBNhACLo9j3f,0.624,0.303,152.167,0.278,0.0546,0,4,0.461,1,261267,-6.909,0.511,1
2016,4 Your Eyez Only,j. cole,29,0,1,29,New,1vvnYpYEMVB4aq9I6tHIEB,0.481,0.0874,78.628,0.363,0.378,7.09E-05,4,0.704,11,530253,-10.493,0.494,0
2000,"4, 5, 6",sole,21,95,16,94,1,3SsO5zbbDfcU95HD0ygg7c,0.664,0.0539,79.987,0.0683,0.0485,0,4,0.82,11,255760,-4.308,0.762,0
2018,44 More,Logic,22,70,5,85,-15,3e7Y6sfFlIdBMJhX7wpqVO,0.589,0.113,139.971,0.202,0.0635,0,4,0.829,1,188600,-7.055,0.233,1
2017,444+222,lil uzi vert,60,79,3,100,-21,1QgTBfRN5m81a5K01qens6,0.513,0.101,76.997,0.269,0.0235,2.83E-05,4,0.791,10,247347,-6.568,0.481,0
2012,5 O'Clock,t-pain,10,76,20,83,-7,6j236RwzFFj4wqH2tWJNBD,0.882,0.124,167.114,0.334,0.168,0,4,0.4,7,281533,-1.958,0.385,0
2009,5 Star,yo gotti,79,79,2,84,-5,3yikbrpdkxkVyDo6bdv9D3,0.761,0.274,76.476,0.256,0.0728,0,4,0.771,9,244293,-5.844,0.603,1
2009,5 Star Chick,yo gotti,79,0,1,79,New,3yikbrpdkxkVyDo6bdv9D3,0.761,0.274,76.476,0.256,0.0728,0,4,0.771,9,244293,-5.844,0.603,1
2012,50 Ways To Say Goodbye,train,20,28,20,44,-16,2NniAhAtkRACaMeYt48xlD,0.935,0.142,140.043,0.0478,0.000284,0.000278,4,0.591,6,247947,-2.664,0.736,1
2012,5-1-5-0,dierks bentley,33,93,20,90,3,2WKCH4ISejDV9ad7iPp5XU,0.849,0.31,116.992,0.0357,0.0246,0.000233,4,0.554,1,182893,-5.181,0.683,0
2011,6 Foot 7 Foot,lil wayne,9,35,21,44,-9,0z5ZPs57J2KERwM1tBM2GF,0.738,0.319,80.846,0.311,0.000683,0,4,0.377,2,248587,-5.32,0.57,1
2015,6 God,drake,83,0,1,83,New,0GQKP2WgHvBA8Nzb4xZu36,0.623,0.125,105.45,0.106,0.0248,0,4,0.859,2,180667,-8.596,0.482,1
2016,6 Inch,beyonce,18,28,3,82,-54,4OL8JDKCJnV5l6bDZ58dXR,0.388,0.0835,137.988,0.0361,0.327,0.726,4,0.735,10,215827,-12.189,0.441,0
2015,6 Man,drake,97,0,1,97,New,48S3Pfu533qMMgHXmV1ruh,0.535,0.114,78.974,0.449,0.217,0,4,0.812,4,167653,-9.306,0.321,1
2002,7 Days,craig david,10,42,20,54,-12,4DDzkbIwmJVAAo1yJmr5V1,0.823,0.0966,166.019,0.0512,0.216,0,4,0.622,4,235213,-7.545,0.862,0
2008,7 Things,miley cyrus,9,83,15,94,-11,3GwlJODUKP9RN1vamDfLc6,0.893,0.0644,107.013,0.0326,0.0301,0,4,0.599,1,216493,-4.962,0.553,0
2016,7 Years,lukas graham,2,45,36,46,-1,7129iqBafaphfc3WPCGC0L,0.489,0.386,119.816,0.0611,0.313,0,4,0.728,10,237300,-5.868,0.316,1
2017,80s Mercedes,maren morris,74,89,13,91,-2,58spuRyMUsjKHQHEGwLC99,0.834,0.28,90.933,0.0715,0.0665,0,4,0.485,9,211767,-5.413,0.659,1
2006,8th Of November,big,94,95,2,94,1,2X0aeFJXJZpeK2nSWvypiI,0.729,0.438,169.11,0.0418,0.117,0,3,0.259,2,298240,-2.665,0.284,1
2004,8th World Wonder,kimberley locke,49,98,20,99,-1,71c87UFExe0RcIuqad1bt2,0.752,0.147,99.988,0.0268,0.00926,0,4,0.3,7,239600,-4.017,0.317,1
2011,9 Piece,rick ross,61,61,2,86,-25,6aD178OGxT0Z1NU36g52X5,0.647,0.309,145.156,0.285,0.00266,0,4,0.684,11,239987,-6.777,0.179,1
2018,92 Explorer,Post Malone,40,69,3,98,-29,1D2L6MefbXon28PzIk9I3r,0.743,0.121,146.03,0.0474,0.269,1.36E-06,4,0.802,7,211427,-4.82,0.877,0
2004,99 Problems,tony lucca,58,0,1,58,Hot Shot Debut,7c006NljFWgcF08rk3VtDE,0.801,0.226,166.029,0.0583,0.0306,0,4,0.622,11,143760,-4.094,0.898,0
2003,99.9% Sure (I've Never Been Here Before),brian mccomas,57,94,11,100,-6,1ts771rk2OxkTTQE6Zk6cb,0.586,0.28,116.088,0.0256,0.113,0.785,4,0.596,7,194908,-10.626,0.814,1
2007,A Bay Bay,hurricane chris,7,61,20,64,-3,6MnFB3qurhmGs1xdjrz5Bg,0.668,0.0924,60.709,0.514,0.105,0,3,0.577,6,257120,-4.884,0.702,1
2007,A Broken Wing,jordin sparks,66,66,2,93,-27,4B3VGmiSqK121tX280JIBK,0.271,0.24,97.501,0.0318,0.319,1.67E-06,3,0.642,11,208163,-11.289,0.378,1
2013,A Case Of You,james wolpert,72,0,1,72,New,7shVwhUdVbHpykOfbzvDc1,0.201,0.112,100.836,0.0288,0.9,0,4,0.693,1,263480,-9.903,0.679,1
2009,A Change Is Gonna Come,adam lambert,56,0,1,56,New,7IY0gMxuNTkzmPO9z1tUc5,0.569,0.138,79.553,0.0308,0.0136,0,3,0.34,9,231903,-7.051,0.389,1
2000,A Country Boy Can Survive (Y2K Version),chad brock,75,75,3,92,-17,5pinOKTQyPCPpgjIOKVFY3,0.592,0.114,75.938,0.0317,0.166,0,4,0.669,7,237667,-4.628,0.51,1
2007,A Different World,bucky covington,58,88,20,99,-11,1IPFnPe6YsyzGePYS3ME2v,0.688,0.0859,128.968,0.0279,0.0407,0,4,0.617,9,208573,-4.959,0.442,1
2007,A Feelin' Like That,gary allan,94,0,1,94,New,4zhiR8GdYCOShGhs0itUyo,0.817,0.0844,113.466,0.0415,0.000502,1.29E-05,4,0.57,8,210640,-8.35,0.487,1
2003,A Few Questions,clay walker,55,85,13,99,-14,33rYHZtXXBvlwwqU74er7N,0.247,0.0905,140.943,0.0284,0.413,0.0063,4,0.586,7,224258,-13.624,0.115,1
2018,A Girl Like You,Easton Corbin,98,0,1,98,New,3AsNVBJ7LHsltdu9490ZiS,0.777,0.0665,104.989,0.0329,0.0178,1.27E-06,4,0.74,5,217840,-4.405,0.834,1
2001,A Good Day To Run,darryl worley,76,86,9,99,-13,3Ye4dPI87Y3SP3pH0EC3rC,0.794,0.145,147.106,0.0298,0.395,1.09E-05,4,0.566,6,188333,-5.537,0.725,1
2007,A Great Big Sled,the killers,54,0,2,88,Re-Entry,6398vUKLbric3lZ7bcque3,0.869,0.181,127.952,0.0587,0.00238,1.91E-06,4,0.529,0,259213,-3.846,0.285,1
2015,A Guy Walks Into A Bar,tyler farr,51,51,20,52,-1,72wSY7TWu27sVm2rwRLen5,0.781,0.118,147.913,0.0382,0.0824,0,4,0.428,0,196213,-3.42,0.458,1
2017,A Guy With A Girl,blake shelton,42,91,17,100,-9,5sjIhQzNljMVrDklI91ezp,0.893,0.105,163.948,0.0383,0.0158,0,4,0.552,0,189467,-4.593,0.777,1
2017,A Holly Jolly Christmas,burl ives,38,38,5,46,-8,33BcB8XVwJU4qB7bDSkVya,0.363,0.15,140.296,0.0318,0.644,0,4,0.665,0,133293,-12.983,0.824,1
2010,A House Is Not A Home,glee cast,70,0,1,70,New,5cevLj53chcpTIZjezsj37,0.321,0.113,146.946,0.0342,0.758,0,1,0.279,3,175427,-8.336,0.173,1
2006,A La Primera Persona,alejandro sanz,100,0,1,100,New,6mXHxE2BEafOgdWoFvc6mF,0.676,0.0634,121.026,0.0715,0.485,0,4,0.615,8,301933,-5.154,0.259,1
2017,A Lie,french montana,75,0,1,75,Hot Shot Debut,1vVNlXi8gf8tZ7OhnEs4VE,0.792,0.404,121.189,0.216,0.0235,0,5,0.516,1,226790,-5.38,0.524,0
2013,A Light That Never Comes,linkin park,65,0,1,65,New,5a3qqnzBzpY9at2h7kpGW5,0.871,0.134,115,0.0689,0.00225,0.00708,4,0.687,0,229439,-5.531,0.539,1
2008,A Little Bit Longer,jonas brothers,11,0,1,11,Hot Shot Debut,5DeQvZfnYxhuDDCLYoIoeM,0.619,0.231,156.359,0.0331,0.0228,0,4,0.302,0,205013,-4.812,0.291,1
2011,A Little Bit Stronger,sara evans,34,45,21,49,-4,5FIp4LrsffxiHLhmmpCbCx,0.65,0.0876,147.93,0.0337,0.282,1.16E-06,4,0.536,2,301987,-5.603,0.288,1
2002,A Little Less Conversation,elvis presley,50,61,9,86,-25,6WKizu8S1HQJ3pZwPkxaos,0.844,0.195,113.187,0.0955,0.0579,2.01E-05,4,0.515,4,99320,-5.605,0.931,1
2006,"A Little Less Sixteen Candles, A Little More Touch Me",fall out boy,65,82,13,91,-9,3IcGfl8jVOapoWGRV9QP3u,0.9,0.271,133.08,0.0618,0.00518,0,4,0.544,7,170280,-3.117,0.708,1
2010,A Little More Country Than That,easton corbin,42,90,20,94,-4,7LrZ3SczM7zlUkVlhevPp2,0.61,0.102,84.365,0.0363,0.0776,2.81E-06,4,0.484,11,172227,-8.484,0.584,1
2016,A Little More Summertime,jason aldean,52,64,13,87,-23,7aVgSjwudkZey7smIznis2,0.815,0.0996,167.731,0.0818,0.0389,3.91E-05,4,0.33,9,219373,-4.285,0.529,1
2013,A Little Party Never Killed Nobody (All We Got),"fergie, q-tip",77,77,2,93,-16,1mz9ZrRYu3EPVg9ZHFtjjf,0.649,0.0834,130.033,0.197,0.0108,3.03E-06,4,0.761,5,240907,-5.071,0.504,0
2006,A Little Too Late,toby keith,53,75,15,93,-18,5djhyxT7ZIzM1rP2XE2ygb,0.752,0.141,201.713,0.0478,0.188,3.92E-05,4,0.408,11,248040,-5.725,0.604,1
2015,A Little Too Much,shawn mendes,94,0,1,94,New,4BszVrNbk2bRw5skPOv4z1,0.52,0.109,165.61,0.0316,0.461,0,4,0.487,11,187053,-6.217,0.597,1
2016,A Lonely Night,the weeknd,69,0,1,69,New,0ifooM33X1iBxVYyOkSbXW,0.65,0.089,113.993,0.0837,0.0466,7.27E-06,4,0.853,7,220173,-7.03,0.85,0
2001,A Long Walk,jill scott,43,93,19,90,3,1CeizRCGEYPWooEeVfmyFL,0.565,0.112,76.165,0.316,0.0699,8.75E-05,4,0.667,6,280973,-9.452,0.281,0
2003,A Lot Of Things Different,kenny chesney,55,94,15,96,-2,1Hy3tvcg6l5o4codLnOC8f,0.279,0.149,74.847,0.0285,0.129,0.0192,4,0.589,2,283867,-13.693,0.212,1
2014,A Man Who Was Gonna Die Young,eric church,89,0,1,89,New,4tLNKzcRv95bWCtwNpH4w6,0.0969,0.105,144.077,0.0435,0.951,0,4,0.498,11,193787,-16.482,0.39,1
2008,A Milli,lil wayne,6,30,23,41,-11,6ScJMrlpiLfZUGtWp4QIVt,0.684,0.177,151.748,0.278,0.0527,0.000895,4,0.679,6,221840,-8.559,0.755,1
2003,A Moment Like This,kelly clarkson,1,82,20,86,-4,4kvdX9zzsix7jYHsRVkVUH,0.572,0.115,145.184,0.0311,0.163,0,4,0.414,8,228280,-3.918,0.16,1
2002,A New Day Has Come,celine dion,22,74,20,81,-7,5pvUom8SwY90Jc08leWVnv,0.659,0.159,183.918,0.0567,0.0775,1.05E-05,4,0.462,6,260453,-6.479,0.212,1
2006,A Public Affair,jessica simpson,14,55,12,81,-26,1gFMesXcHHtIUhwzxYFOtz,0.86,0.404,124.052,0.0339,0.00525,0.000192,4,0.735,11,201467,-3.878,0.835,0
2005,A Real Fine Place To Start,sara evans,38,74,20,83,-9,6O2lo7245XfRbIfpL5yRLJ,0.789,0.141,120.953,0.041,0.00143,0.00087,4,0.585,8,238733,-2.834,0.208,1
2005,A Rose By Any Other Name,teena marie,97,0,2,97,Re-Entry,5czO1qonoydMKYqyEqWVL3,0.7,0.0809,128.338,0.0591,0.75,0,4,0.693,6,327160,-4.469,0.481,0
2014,A Sky Full Of Stars,coldplay,10,37,26,44,-7,0FDzzruyVECATHXKHFs9eJ,0.636,0.217,124.996,0.0281,0.00713,0.00203,4,0.551,6,268467,-7.125,0.153,1
2002,A Thousand Miles,vanessa carlton,5,42,41,46,-4,4w1lzcaoZ1IC2K5TwjalRP,0.825,0.161,94.931,0.0379,0.323,0,4,0.56,11,237493,-3.862,0.268,1
