Track,Artist,Position,Peak,Last,Weeks,Year,Month,Week
Play That Song,Train,91.0,91.0,-,1.0,2016.0,12.0,10.0
Infinite,Eminem,97.0,97.0,-,1.0,2016.0,12.0,10.0
Versace On The Floor,Bruno Mars,98.0,98.0,-,1.0,2016.0,12.0,10.0
Parachute,Chris Stapleton,99.0,99.0,-,1.0,2016.0,12.0,10.0
Sidewalks,The Weeknd Featuring Kendrick Lamar,27.0,27.0,-,1.0,2016.0,12.0,17.0
Reminder,The Weeknd,31.0,31.0,-,1.0,2016.0,12.0,17.0
Six Feet Under,The Weeknd,34.0,34.0,-,1.0,2016.0,12.0,17.0
Die For You,The Weeknd,43.0,43.0,-,1.0,2016.0,12.0,17.0
Rockin',The Weeknd,44.0,44.0,-,1.0,2016.0,12.0,17.0
All I Know,The Weeknd Featuring Future,46.0,46.0,-,1.0,2016.0,12.0,17.0
Secrets,The Weeknd,47.0,47.0,-,1.0,2016.0,12.0,17.0
True Colors,The Weeknd,48.0,48.0,-,1.0,2016.0,12.0,17.0
How Far I'll Go,Auli'i Cravalho,52.0,52.0,-,1.0,2016.0,12.0,17.0
Stargirl Interlude,The Weeknd Featuring Lana Del Rey,61.0,61.0,-,1.0,2016.0,12.0,17.0
Attention,The Weeknd,67.0,67.0,-,1.0,2016.0,12.0,17.0
Nothing Without You,The Weeknd,68.0,68.0,-,1.0,2016.0,12.0,17.0
A Lonely Night,The Weeknd,69.0,69.0,-,1.0,2016.0,12.0,17.0
Love To Lay,The Weeknd,71.0,71.0,-,1.0,2016.0,12.0,17.0
Ordinary Life,The Weeknd,72.0,72.0,-,1.0,2016.0,12.0,17.0
You're Welcome,Dwayne Johnson,83.0,83.0,-,1.0,2016.0,12.0,17.0
Distraction,Kehlani,85.0,85.0,-,1.0,2016.0,12.0,17.0
How Far I'll Go,Alessia Cara,88.0,88.0,-,1.0,2016.0,12.0,17.0
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,93.0,93.0,-,1.0,2016.0,12.0,17.0
Make Me (Cry),Noah Cyrus Featuring Labrinth,98.0,98.0,-,1.0,2016.0,12.0,17.0
Black Barbies,Nicki Minaj X Mike WiLL Made-It,65.0,65.0,-,1.0,2016.0,12.0,24.0
Home,gnash Featuring Johnny Yukon,76.0,76.0,-,1.0,2016.0,12.0,24.0
False Prophets,J. Cole,93.0,93.0,-,1.0,2016.0,12.0,24.0
Dirt On My Boots,Jon Pardi,95.0,95.0,-,1.0,2016.0,12.0,24.0
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,100.0,100.0,-,1.0,2016.0,12.0,24.0
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,6.0,6.0,-,1.0,2016.0,12.0,31.0
Deja Vu,J. Cole,7.0,7.0,-,1.0,2016.0,12.0,31.0
Immortal,J. Cole,11.0,11.0,-,1.0,2016.0,12.0,31.0
Neighbors,J. Cole,13.0,13.0,-,1.0,2016.0,12.0,31.0
Change,J. Cole,21.0,21.0,-,1.0,2016.0,12.0,31.0
She's Mine Pt.1,J. Cole,22.0,22.0,-,1.0,2016.0,12.0,31.0
For Whom The Bell Tolls,J. Cole,23.0,23.0,-,1.0,2016.0,12.0,31.0
Ville Mentality,J. Cole,24.0,24.0,-,1.0,2016.0,12.0,31.0
4 Your Eyez Only,J. Cole,29.0,29.0,-,1.0,2016.0,12.0,31.0
Foldin Clothes,J. Cole,30.0,30.0,-,1.0,2016.0,12.0,31.0
She's Mine Pt. 2,J. Cole,34.0,34.0,-,1.0,2016.0,12.0,31.0
Just Hold On,Steve Aoki & Louis Tomlinson,52.0,52.0,-,1.0,2016.0,12.0,31.0
Everybody Dies,J. Cole,57.0,57.0,-,1.0,2016.0,12.0,31.0
Darlin' Don't Go,Sundance Head,67.0,67.0,-,1.0,2016.0,12.0,31.0
Congratulations,Post Malone Featuring Quavo,83.0,83.0,-,1.0,2016.0,12.0,31.0
At Last,Sundance Head,89.0,89.0,-,1.0,2016.0,12.0,31.0
Both,Gucci Mane Featuring Drake,41.0,41.0,-,1.0,2017.0,1.0,7.0
Feliz Navidad,Jose Feliciano,44.0,44.0,-,1.0,2017.0,1.0,7.0
A Holly Jolly Christmas,Burl Ives,46.0,46.0,-,1.0,2017.0,1.0,7.0
It's The Most Wonderful Time Of The Year,Andy Williams,48.0,48.0,-,1.0,2017.0,1.0,7.0
Last Christmas,Wham!,50.0,50.0,-,1.0,2017.0,1.0,7.0
Party,Chris Brown Featuring Usher & Gucci Mane,58.0,58.0,-,1.0,2017.0,1.0,7.0
OTW,DJ Luke Nasty,91.0,91.0,-,1.0,2017.0,1.0,7.0
Red Opps,21 Savage,92.0,92.0,-,1.0,2017.0,1.0,7.0
Swang,Rae Sremmurd,99.0,99.0,-,1.0,2017.0,1.0,7.0
Careless Whisper,Wham! Featuring George Michael,33.0,1.0,-,22.0,2017.0,1.0,14.0
Faith,George Michael,47.0,1.0,-,21.0,2017.0,1.0,14.0
Moves,Big Sean,71.0,71.0,-,1.0,2017.0,1.0,14.0
Seein' Red,Dustin Lynch,79.0,79.0,-,1.0,2017.0,1.0,14.0
iSpy,KYLE Featuring Lil Yachty,80.0,80.0,-,1.0,2017.0,1.0,14.0
Think A Little Less,Michael Ray,90.0,90.0,-,1.0,2017.0,1.0,14.0
No Flockin,Kodak Black,95.0,95.0,-,1.0,2017.0,1.0,14.0
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,96.0,96.0,-,1.0,2017.0,1.0,14.0
Way Down We Go,Kaleo,98.0,98.0,-,1.0,2017.0,1.0,14.0
Hate U Love U,Olivia O'Brien,99.0,99.0,-,1.0,2017.0,1.0,14.0
Shaky Shaky,Daddy Yankee,100.0,100.0,-,1.0,2017.0,1.0,14.0
Sober Saturday Night,Chris Young Featuring Vince Gill,92.0,92.0,-,1.0,2017.0,1.0,21.0
Beibs In The Trap,Travis Scott,93.0,93.0,-,1.0,2017.0,1.0,21.0
I Got You,Bebe Rexha,94.0,94.0,-,1.0,2017.0,1.0,21.0
The Weekend,Brantley Gilbert,95.0,95.0,-,1.0,2017.0,1.0,21.0
Water,Ugly God,100.0,100.0,-,1.0,2017.0,1.0,21.0
Shape Of You,Ed Sheeran,1.0,1.0,-,1.0,2017.0,1.0,28.0
Castle On The Hill,Ed Sheeran,6.0,6.0,-,1.0,2017.0,1.0,28.0
Location,Khalid,77.0,77.0,-,1.0,2017.0,1.0,28.0
Drinkin' Too Much,Sam Hunt,89.0,89.0,-,1.0,2017.0,1.0,28.0
If The Boot Fits,Granger Smith,100.0,100.0,-,1.0,2017.0,1.0,28.0
Paris,The Chainsmokers,7.0,7.0,-,1.0,2017.0,2.0,4.0
T-Shirt,Migos,43.0,43.0,-,1.0,2017.0,2.0,4.0
Not Afraid Anymore,Halsey,77.0,77.0,-,1.0,2017.0,2.0,4.0
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,88.0,88.0,-,1.0,2017.0,2.0,4.0
Not Nice,PARTYNEXTDOOR,95.0,95.0,-,1.0,2017.0,2.0,4.0
Black,Dierks Bentley,98.0,98.0,-,1.0,2017.0,2.0,4.0
Down,Marian Hill,99.0,99.0,-,1.0,2017.0,2.0,4.0
Fast,Luke Bryan,81.0,81.0,-,1.0,2017.0,2.0,11.0
Guys My Age,Hey Violet,84.0,84.0,-,1.0,2017.0,2.0,11.0
Road Less Traveled,Lauren Alaina,86.0,86.0,-,1.0,2017.0,2.0,11.0
Issues,Julia Michaels,87.0,87.0,-,1.0,2017.0,2.0,11.0
Good Drank,2 Chainz x Gucci Mane x Quavo,92.0,92.0,-,1.0,2017.0,2.0,11.0
Any Ol' Barstool,Jason Aldean,93.0,93.0,-,1.0,2017.0,2.0,11.0
Dancing On My Own,Calum Scott,94.0,94.0,-,1.0,2017.0,2.0,11.0
Running Back,Wale Featuring Lil Wayne,100.0,100.0,-,1.0,2017.0,2.0,11.0
Body Like A Back Road,Sam Hunt,38.0,38.0,-,1.0,2017.0,2.0,18.0
Slippery,Migos Featuring Gucci Mane,48.0,48.0,-,1.0,2017.0,2.0,18.0
Kelly Price,Migos Featuring Travis Scott,58.0,58.0,-,1.0,2017.0,2.0,18.0
Call Casting,Migos,62.0,62.0,-,1.0,2017.0,2.0,18.0
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,66.0,66.0,-,1.0,2017.0,2.0,18.0
I'm Better,Missy Elliott Featuring Lamb,71.0,71.0,-,1.0,2017.0,2.0,18.0
Get Right Witcha,Migos,72.0,72.0,-,1.0,2017.0,2.0,18.0
Scared To Be Lonely,Martin Garrix & Dua Lipa,88.0,88.0,-,1.0,2017.0,2.0,18.0
Culture,Migos Featuring DJ Khaled,93.0,93.0,-,1.0,2017.0,2.0,18.0
El Amante,Nicky Jam,99.0,99.0,-,1.0,2017.0,2.0,18.0
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,100.0,100.0,-,1.0,2017.0,2.0,18.0
No Favors,Big Sean Featuring Eminem,22.0,22.0,-,1.0,2017.0,2.0,25.0
Believer,Imagine Dragons,43.0,43.0,-,1.0,2017.0,2.0,25.0
My Old Man,Zac Brown Band,68.0,68.0,-,1.0,2017.0,2.0,25.0
Sacrifices,Big Sean Featuring Migos,70.0,70.0,-,1.0,2017.0,2.0,25.0
Halfway Off The Balcony,Big Sean,74.0,74.0,-,1.0,2017.0,2.0,25.0
Jump Out The Window,Big Sean,76.0,76.0,-,1.0,2017.0,2.0,25.0
Owe Me,Big Sean,86.0,86.0,-,1.0,2017.0,2.0,25.0
Beauty And The Beast,Ariana Grande & John Legend,87.0,87.0,-,1.0,2017.0,2.0,25.0
I Don't,Mariah Carey Featuring YG,89.0,89.0,-,1.0,2017.0,2.0,25.0
Now & Later,Sage The Gemini,93.0,93.0,-,1.0,2017.0,2.0,25.0
In Case You Didn't Know,Brett Young,94.0,94.0,-,1.0,2017.0,2.0,25.0
Look At Me!,XXXTENTACION,95.0,95.0,-,1.0,2017.0,2.0,25.0
Light,Big Sean Featuring Jeremih,97.0,97.0,-,1.0,2017.0,2.0,25.0
Chained To The Rhythm,Katy Perry Featuring Skip Marley,4.0,4.0,-,1.0,2017.0,3.0,4.0
Cold,Maroon 5 Featuring Future,42.0,42.0,-,1.0,2017.0,3.0,4.0
Bom Bidi Bom,Nick Jonas & Nicki Minaj,54.0,54.0,-,1.0,2017.0,3.0,4.0
Shining,DJ Khaled Featuring Beyonce & JAY Z,62.0,62.0,-,1.0,2017.0,3.0,4.0
Helium,Sia,71.0,71.0,-,1.0,2017.0,3.0,4.0
Heroe Favorito,Romeo Santos,77.0,77.0,-,1.0,2017.0,3.0,4.0
Everything 1K,Kodak Black,84.0,84.0,-,1.0,2017.0,3.0,4.0
Everyday,Ariana Grande Featuring Future,85.0,85.0,-,1.0,2017.0,3.0,4.0
Rolex,Ayo & Teo,87.0,87.0,-,1.0,2017.0,3.0,4.0
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,88.0,88.0,-,1.0,2017.0,3.0,4.0
It Ain't Me,Kygo x Selena Gomez,93.0,93.0,-,1.0,2017.0,3.0,4.0
Yeah Boy,Kelsea Ballerini,94.0,94.0,-,1.0,2017.0,3.0,4.0
Hurricane,Luke Combs,96.0,96.0,-,1.0,2017.0,3.0,4.0
Tunnel Vision,Kodak Black,27.0,27.0,-,1.0,2017.0,3.0,11.0
How Would You Feel (Paean),Ed Sheeran,41.0,41.0,-,1.0,2017.0,3.0,11.0
Love,Lana Del Rey,44.0,44.0,-,1.0,2017.0,3.0,11.0
Draco,Future,46.0,46.0,-,1.0,2017.0,3.0,11.0
Mask Off,Future,49.0,49.0,-,1.0,2017.0,3.0,11.0
Heavy,Linkin Park Featuring Kiiara,52.0,52.0,-,1.0,2017.0,3.0,11.0
Rent Money,Future,54.0,54.0,-,1.0,2017.0,3.0,11.0
Something Just Like This,The Chainsmokers & Coldplay,56.0,56.0,-,1.0,2017.0,3.0,11.0
Super Trapper,Future,91.0,91.0,-,1.0,2017.0,3.0,11.0
Zoom,Future,99.0,99.0,-,1.0,2017.0,3.0,11.0
Stay,Zedd & Alessia Cara,28.0,28.0,-,1.0,2017.0,3.0,18.0
Slide,Calvin Harris Featuring Frank Ocean & Migos,34.0,34.0,-,1.0,2017.0,3.0,18.0
Selfish,Future Featuring Rihanna,37.0,37.0,-,1.0,2017.0,3.0,18.0
Comin Out Strong,Future Featuring The Weeknd,48.0,48.0,-,1.0,2017.0,3.0,18.0
Make Love,Gucci Mane & Nicki Minaj,78.0,78.0,-,1.0,2017.0,3.0,18.0
Losin Control,Russ,89.0,89.0,-,1.0,2017.0,3.0,18.0
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,92.0,92.0,-,1.0,2017.0,3.0,18.0
Hometown Girl,Josh Turner,96.0,96.0,-,1.0,2017.0,3.0,18.0
Green Light,Lorde,100.0,100.0,-,1.0,2017.0,3.0,18.0
Perfect,Ed Sheeran,37.0,37.0,-,1.0,2017.0,3.0,25.0
Dive,Ed Sheeran,49.0,49.0,-,1.0,2017.0,3.0,25.0
Galway Girl,Ed Sheeran,53.0,53.0,-,1.0,2017.0,3.0,25.0
Happier,Ed Sheeran,59.0,59.0,-,1.0,2017.0,3.0,25.0
New Man,Ed Sheeran,72.0,72.0,-,1.0,2017.0,3.0,25.0
Supermarket Flowers,Ed Sheeran,75.0,75.0,-,1.0,2017.0,3.0,25.0
What Do I Know?,Ed Sheeran,83.0,83.0,-,1.0,2017.0,3.0,25.0
Eraser,Ed Sheeran,90.0,90.0,-,1.0,2017.0,3.0,25.0
Hearts Don't Break Around Here,Ed Sheeran,93.0,93.0,-,1.0,2017.0,3.0,25.0
Barcelona,Ed Sheeran,96.0,96.0,-,1.0,2017.0,3.0,25.0
No Frauds,"Nicki Minaj, Drake & Lil Wayne",14.0,14.0,-,1.0,2017.0,4.0,1.0
Regret In Your Tears,Nicki Minaj,61.0,61.0,-,1.0,2017.0,4.0,1.0
Changed It,Nicki Minaj & Lil Wayne,71.0,71.0,-,1.0,2017.0,4.0,1.0
Chanel,Frank Ocean,72.0,72.0,-,1.0,2017.0,4.0,1.0
Liability,Lorde,78.0,78.0,-,1.0,2017.0,4.0,1.0
Prblms,6LACK,95.0,95.0,-,1.0,2017.0,4.0,1.0
Passionfruit,Drake,8.0,8.0,-,1.0,2017.0,4.0,8.0
Portland,Drake Featuring Quavo & Travis Scott,9.0,9.0,-,1.0,2017.0,4.0,8.0
Free Smoke,Drake,18.0,18.0,-,1.0,2017.0,4.0,8.0
Gyalchester,Drake,29.0,29.0,-,1.0,2017.0,4.0,8.0
Teenage Fever,Drake,35.0,35.0,-,1.0,2017.0,4.0,8.0
Sacrifices,Drake Featuring 2 Chainz & Young Thug,36.0,36.0,-,1.0,2017.0,4.0,8.0
Blem,Drake,38.0,38.0,-,1.0,2017.0,4.0,8.0
No Long Talk,Drake Featuring Giggs,40.0,40.0,-,1.0,2017.0,4.0,8.0
Get It Together,Drake Featuring Jorja Smith & Black Coffee,45.0,45.0,-,1.0,2017.0,4.0,8.0
KMT,Drake Featuring Giggs,48.0,48.0,-,1.0,2017.0,4.0,8.0
Jorja Interlude,Drake,49.0,49.0,-,1.0,2017.0,4.0,8.0
4422,Drake Featuring Sampha,50.0,50.0,-,1.0,2017.0,4.0,8.0
Madiba Riddim,Drake,51.0,51.0,-,1.0,2017.0,4.0,8.0
Glow,Drake Featuring Kanye West,54.0,54.0,-,1.0,2017.0,4.0,8.0
Do Not Disturb,Drake,60.0,60.0,-,1.0,2017.0,4.0,8.0
Nothings Into Somethings,Drake,61.0,61.0,-,1.0,2017.0,4.0,8.0
Ice Melts,Drake Featuring Young Thug,62.0,62.0,-,1.0,2017.0,4.0,8.0
Lose You,Drake,64.0,64.0,-,1.0,2017.0,4.0,8.0
Since Way Back,Drake Featuring PARTYNEXTDOOR,70.0,70.0,-,1.0,2017.0,4.0,8.0
Skepta Interlude,Drake,76.0,76.0,-,1.0,2017.0,4.0,8.0
Can't Have Everything,Drake,82.0,82.0,-,1.0,2017.0,4.0,8.0
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,88.0,88.0,-,1.0,2017.0,4.0,8.0
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,97.0,97.0,-,1.0,2017.0,4.0,8.0
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,98.0,98.0,-,1.0,2017.0,4.0,8.0
The Heart Part 4,Kendrick Lamar,22.0,22.0,-,1.0,2017.0,4.0,15.0
XO TOUR Llif3,Lil Uzi Vert,49.0,49.0,-,1.0,2017.0,4.0,15.0
Speak To A Girl,Tim McGraw & Faith Hill,61.0,61.0,-,1.0,2017.0,4.0,15.0
Still Got Time,Zayn Featuring PARTYNEXTDOOR,66.0,66.0,-,1.0,2017.0,4.0,15.0
Humble.,Kendrick Lamar,2.0,2.0,-,1.0,2017.0,4.0,22.0
Craving You,Thomas Rhett Featuring Maren Morris,53.0,53.0,-,1.0,2017.0,4.0,22.0
Everybody,Logic,59.0,59.0,-,1.0,2017.0,4.0,22.0
You Look Good,Lady Antebellum,60.0,60.0,-,1.0,2017.0,4.0,22.0
Tin Man,Miranda Lambert,75.0,75.0,-,1.0,2017.0,4.0,22.0
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",81.0,81.0,-,1.0,2017.0,4.0,22.0
First Day Out,Tee Grizzley,88.0,88.0,-,1.0,2017.0,4.0,22.0
The One,The Chainsmokers,91.0,91.0,-,1.0,2017.0,4.0,22.0
Conscience,Kodak Black Featuring Future,93.0,93.0,-,1.0,2017.0,4.0,22.0
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,94.0,94.0,-,1.0,2017.0,4.0,22.0
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",96.0,96.0,-,1.0,2017.0,4.0,22.0
How Not To,Dan + Shay,98.0,98.0,-,1.0,2017.0,4.0,22.0
Human,Rag'n'Bone Man,100.0,100.0,-,1.0,2017.0,4.0,22.0
Sign Of The Times,Harry Styles,4.0,4.0,-,1.0,2017.0,4.0,29.0
Now Or Never,Halsey,50.0,50.0,-,1.0,2017.0,4.0,29.0
Unforgettable,French Montana Featuring Swae Lee,74.0,74.0,-,1.0,2017.0,4.0,29.0
Everyday We Lit,YFN Lucci Featuring PnB Rock,79.0,79.0,-,1.0,2017.0,4.0,29.0
Cake,Flo Rida & 99 Percent,89.0,89.0,-,1.0,2017.0,4.0,29.0
Bar At The End Of The World,Kenny Chesney,92.0,92.0,-,1.0,2017.0,4.0,29.0
Weak,AJR,97.0,97.0,-,1.0,2017.0,4.0,29.0
If I Told You,Darius Rucker,99.0,99.0,-,1.0,2017.0,4.0,29.0
Flatliner,Cole Swindell,100.0,100.0,-,1.0,2017.0,4.0,29.0
DNA.,Kendrick Lamar,4.0,4.0,-,1.0,2017.0,5.0,6.0
Loyalty.,Kendrick Lamar Featuring Rihanna,14.0,14.0,-,1.0,2017.0,5.0,6.0
Element.,Kendrick Lamar,16.0,16.0,-,1.0,2017.0,5.0,6.0
Love.,Kendrick Lamar Featuring Zacari,18.0,18.0,-,1.0,2017.0,5.0,6.0
Yah.,Kendrick Lamar,32.0,32.0,-,1.0,2017.0,5.0,6.0
XXX.,Kendrick Lamar Featuring U2,33.0,33.0,-,1.0,2017.0,5.0,6.0
Feel.,Kendrick Lamar,35.0,35.0,-,1.0,2017.0,5.0,6.0
Pride.,Kendrick Lamar,37.0,37.0,-,1.0,2017.0,5.0,6.0
The Cure,Lady Gaga,39.0,39.0,-,1.0,2017.0,5.0,6.0
Lust.,Kendrick Lamar,42.0,42.0,-,1.0,2017.0,5.0,6.0
Fear.,Kendrick Lamar,50.0,50.0,-,1.0,2017.0,5.0,6.0
Blood.,Kendrick Lamar,54.0,54.0,-,1.0,2017.0,5.0,6.0
God.,Kendrick Lamar,58.0,58.0,-,1.0,2017.0,5.0,6.0
Duckworth.,Kendrick Lamar,63.0,63.0,-,1.0,2017.0,5.0,6.0
Good Life,G-Eazy & Kehlani,76.0,76.0,-,1.0,2017.0,5.0,6.0
Peek A Boo,Lil Yachty Featuring Migos,78.0,78.0,-,1.0,2017.0,5.0,6.0
Black SpiderMan,Logic Featuring Damian Lemar Hudson,87.0,87.0,-,1.0,2017.0,5.0,6.0
Broken Halos,Chris Stapleton,93.0,93.0,-,1.0,2017.0,5.0,6.0
The Night We Met,Lord Huron,99.0,99.0,-,1.0,2017.0,5.0,6.0
There's Nothing Holdin' Me Back,Shawn Mendes,44.0,44.0,-,1.0,2017.0,5.0,13.0
Lust For Life,Lana Del Rey Featuring The Weeknd,64.0,64.0,-,1.0,2017.0,5.0,13.0
Attention,Charlie Puth,68.0,68.0,-,1.0,2017.0,5.0,13.0
Do Re Mi,blackbear,87.0,87.0,-,1.0,2017.0,5.0,13.0
Hard Times,Paramore,90.0,90.0,-,1.0,2017.0,5.0,13.0
My Girl,Dylan Scott,93.0,93.0,-,1.0,2017.0,5.0,13.0
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1.0,1.0,-,1.0,2017.0,5.0,20.0
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,61.0,61.0,-,1.0,2017.0,5.0,20.0
First Time,Kygo & Ellie Goulding,67.0,67.0,-,1.0,2017.0,5.0,20.0
Thunder,Imagine Dragons,70.0,70.0,-,1.0,2017.0,5.0,20.0
Bon Appetit,Katy Perry Featuring Migos,76.0,76.0,-,1.0,2017.0,5.0,20.0
Privacy,Chris Brown,87.0,87.0,-,1.0,2017.0,5.0,20.0
Slow Hands,Niall Horan,90.0,90.0,-,1.0,2017.0,5.0,20.0
Magnolia,Playboi Carti,91.0,91.0,-,1.0,2017.0,5.0,20.0
Sweet Creature,Harry Styles,93.0,93.0,-,1.0,2017.0,5.0,20.0
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,100.0,100.0,-,1.0,2017.0,5.0,20.0
Malibu,Miley Cyrus,64.0,64.0,-,1.0,2017.0,5.0,27.0
Every Time I Hear That Song,Blake Shelton,79.0,79.0,-,1.0,2017.0,5.0,27.0
Either Way,Chris Stapleton,89.0,89.0,-,1.0,2017.0,5.0,27.0
Drinkin' Problem,Midland,97.0,97.0,-,1.0,2017.0,5.0,27.0
Rollin,Calvin Harris Featuring Future & Khalid,62.0,62.0,-,1.0,2017.0,6.0,3.0
Bad Liar,Selena Gomez,80.0,80.0,-,1.0,2017.0,6.0,3.0
Whatever It Takes,Imagine Dragons,92.0,92.0,-,1.0,2017.0,6.0,3.0
Felices Los 4,Maluma,93.0,93.0,-,1.0,2017.0,6.0,3.0
No Promises,Cheat Codes Featuring Demi Lovato,95.0,95.0,-,1.0,2017.0,6.0,3.0
Ghost In This House,Lauren Duski,98.0,98.0,-,1.0,2017.0,6.0,3.0
Me Enamore,Shakira,100.0,100.0,-,1.0,2017.0,6.0,3.0
Strip That Down,Liam Payne Featuring Quavo,42.0,42.0,-,1.0,2017.0,6.0,10.0
Deja Vu,Lauren Duski,43.0,43.0,-,1.0,2017.0,6.0,10.0
Swish Swish,Katy Perry Featuring Nicki Minaj,46.0,46.0,-,1.0,2017.0,6.0,10.0
Crying In The Club,Camila Cabello,47.0,47.0,-,1.0,2017.0,6.0,10.0
Money On You,Chris Blue,66.0,66.0,-,1.0,2017.0,6.0,10.0
Yours If You Want It,Rascal Flatts,76.0,76.0,-,1.0,2017.0,6.0,10.0
Most Girls,Hailee Steinfeld,77.0,77.0,-,1.0,2017.0,6.0,10.0
The Dance,Lauren Duski,92.0,92.0,-,1.0,2017.0,6.0,10.0
Boy,Lee Brice,94.0,94.0,-,1.0,2017.0,6.0,10.0
Somethin Tells Me,Bryson Tiller,74.0,74.0,-,1.0,2017.0,6.0,17.0
Self-Made,Bryson Tiller,85.0,85.0,-,1.0,2017.0,6.0,17.0
Met Gala,Gucci Mane Featuring Offset,88.0,88.0,-,1.0,2017.0,6.0,17.0
Don't Get Too High,Bryson Tiller,89.0,89.0,-,1.0,2017.0,6.0,17.0
No Such Thing As A Broken Heart,Old Dominion,90.0,90.0,-,1.0,2017.0,6.0,17.0
Run Me Dry,Bryson Tiller,91.0,91.0,-,1.0,2017.0,6.0,17.0
There For You,Martin Garrix x Troye Sivan,94.0,94.0,-,1.0,2017.0,6.0,17.0
No Longer Friends,Bryson Tiller,98.0,98.0,-,1.0,2017.0,6.0,17.0
Butterfly Effect,Travis Scott,99.0,99.0,-,1.0,2017.0,6.0,17.0
Strangers,Halsey Featuring Lauren Jauregui,100.0,100.0,-,1.0,2017.0,6.0,17.0
Down,Fifth Harmony Featuring Gucci Mane,42.0,42.0,-,1.0,2017.0,6.0,24.0
To The Max,DJ Khaled Featuring Drake,53.0,53.0,-,1.0,2017.0,6.0,24.0
4 AM,2 Chainz Featuring Travis Scott,73.0,73.0,-,1.0,2017.0,6.0,24.0
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,82.0,82.0,-,1.0,2017.0,6.0,24.0
Small Town Boy,Dustin Lynch,85.0,85.0,-,1.0,2017.0,6.0,24.0
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",87.0,87.0,-,1.0,2017.0,6.0,24.0
It's Everyday Bro,Jake Paul Featuring Team 10,94.0,94.0,-,1.0,2017.0,6.0,24.0
Somebody Else Will,Justin Moore,97.0,97.0,-,1.0,2017.0,6.0,24.0
Nobody Else But You,Trey Songz,99.0,99.0,-,1.0,2017.0,6.0,24.0
2U,David Guetta Featuring Justin Bieber,16.0,16.0,-,1.0,2017.0,7.0,1.0
Love Galore,SZA Featuring Travis Scott,70.0,70.0,-,1.0,2017.0,7.0,1.0
Do I Make You Wanna,Billy Currington,79.0,79.0,-,1.0,2017.0,7.0,1.0
Escapate Conmigo,Wisin Featuring Ozuna,89.0,89.0,-,1.0,2017.0,7.0,1.0
What Ifs,Kane Brown Featuring Lauren Alaina,93.0,93.0,-,1.0,2017.0,7.0,1.0
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",95.0,95.0,-,1.0,2017.0,7.0,1.0
It Ain't My Fault,Brothers Osborne,100.0,100.0,-,1.0,2017.0,7.0,1.0
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,4.0,4.0,-,1.0,2017.0,7.0,8.0
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",51.0,51.0,-,1.0,2017.0,7.0,8.0
First Day Out,Kodak Black,61.0,61.0,-,1.0,2017.0,7.0,8.0
Relationship,Young Thug Featuring Future,83.0,83.0,-,1.0,2017.0,7.0,8.0
Feel It Still,Portugal. The Man,89.0,89.0,-,1.0,2017.0,7.0,8.0
Real Hitta,Plies Featuring Kodak Black,100.0,100.0,-,1.0,2017.0,7.0,8.0
Signs,Drake,36.0,36.0,-,1.0,2017.0,7.0,15.0
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,68.0,68.0,-,1.0,2017.0,7.0,15.0
No Complaints,Metro Boomin Featuring Offset & Drake,71.0,71.0,-,1.0,2017.0,7.0,15.0
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",88.0,88.0,-,1.0,2017.0,7.0,15.0
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,94.0,94.0,-,1.0,2017.0,7.0,15.0
Mi Gente,J Balvin & Willy William Featuring Beyonce,70.0,70.0,-,1.0,2017.0,7.0,22.0
Rake It Up,Yo Gotti Featuring Nicki Minaj,78.0,78.0,-,1.0,2017.0,7.0,22.0
Bodak Yellow (Money Moves),Cardi B,85.0,85.0,-,1.0,2017.0,7.0,22.0
